condition,cluster,window,n,mean_amp_uv
active,occipital,P1,139,-2.5336
passive,occipital,P1,143,-2.0695
constant,occipital,P1,9,-2.6055
active,occipital,N1,139,6.4579
passive,occipital,N1,143,4.8922
constant,occipital,N1,9,1.8817
active,occipital,P2,139,6.0781
passive,occipital,P2,143,5.1509
constant,occipital,P2,9,3.4816
active,occipital,P3,139,2.6441
passive,occipital,P3,143,2.682
constant,occipital,P3,9,-0.497
active,occipital,Late,139,0.0076
passive,occipital,Late,143,0.5186
constant,occipital,Late,9,-3.2891
active,posterior,P1,139,-0.1256
passive,posterior,P1,143,-0.3259
constant,posterior,P1,9,1.3405
active,posterior,N1,139,6.5742
passive,posterior,N1,143,4.8422
constant,posterior,N1,9,3.5655
active,posterior,P2,139,5.8893
passive,posterior,P2,143,5.1481
constant,posterior,P2,9,5.3634
active,posterior,P3,139,3.1012
passive,posterior,P3,143,3.1646
constant,posterior,P3,9,2.9615
active,posterior,Late,139,0.7591
passive,posterior,Late,143,1.3341
constant,posterior,Late,9,-1.2954
active,parietal,P1,139,-0.3263
passive,parietal,P1,143,-0.9933
constant,parietal,P1,9,2.6074
active,parietal,N1,139,1.4271
passive,parietal,N1,143,-0.0131
constant,parietal,N1,9,0.9548
active,parietal,P2,139,-0.1192
passive,parietal,P2,143,0.0134
constant,parietal,P2,9,3.1886
active,parietal,P3,139,-1.5455
passive,parietal,P3,143,-1.5789
constant,parietal,P3,9,2.5521
active,parietal,Late,139,-1.6529
passive,parietal,Late,143,-0.9359
constant,parietal,Late,9,0.6788
active,frontal,P1,139,-0.5543
passive,frontal,P1,143,-1.4012
constant,frontal,P1,9,3.2207
active,frontal,N1,139,-5.8438
passive,frontal,N1,143,-6.0975
constant,frontal,N1,9,-1.3443
active,frontal,P2,139,-8.4054
passive,frontal,P2,143,-7.0277
constant,frontal,P2,9,-1.1325
active,frontal,P3,139,-6.5895
passive,frontal,P3,143,-6.9452
constant,frontal,P3,9,2.5358
active,frontal,Late,139,-2.1359
passive,frontal,Late,143,-2.3833
constant,frontal,Late,9,3.9001
