subject,condition,cluster,window,n,mean_amp_uv
014,active,occipital,lambda,636,1.840606
014,active,occipital,P1_frp,636,-2.253284
014,active,occipital,N1_frp,636,-0.108537
014,active,occipital,P2_frp,636,-1.235493
014,active,occipital,Late_frp,636,-1.503049
014,active,posterior,lambda,636,1.191385
014,active,posterior,P1_frp,636,-1.126786
014,active,posterior,N1_frp,636,0.502752
014,active,posterior,P2_frp,636,-1.615497
014,active,posterior,Late_frp,636,-1.749655
014,active,parietal,lambda,636,0.267443
014,active,parietal,P1_frp,636,-0.020571
014,active,parietal,N1_frp,636,1.084843
014,active,parietal,P2_frp,636,-1.381913
014,active,parietal,Late_frp,636,-0.664765
014,active,frontal,lambda,636,0.220489
014,active,frontal,P1_frp,636,1.637124
014,active,frontal,N1_frp,636,0.960851
014,active,frontal,P2_frp,636,0.17866
014,active,frontal,Late_frp,636,1.860786
014,passive,occipital,lambda,592,1.894298
014,passive,occipital,P1_frp,592,-2.651441
014,passive,occipital,N1_frp,592,-0.36517
014,passive,occipital,P2_frp,592,-1.093518
014,passive,occipital,Late_frp,592,-1.753597
014,passive,posterior,lambda,592,1.452393
014,passive,posterior,P1_frp,592,-1.05797
014,passive,posterior,N1_frp,592,0.751004
014,passive,posterior,P2_frp,592,-1.109046
014,passive,posterior,Late_frp,592,-1.841191
014,passive,parietal,lambda,592,0.794544
014,passive,parietal,P1_frp,592,0.661027
014,passive,parietal,N1_frp,592,1.719414
014,passive,parietal,P2_frp,592,-0.551802
014,passive,parietal,Late_frp,592,-0.559806
014,passive,frontal,lambda,592,0.117833
014,passive,frontal,P1_frp,592,1.631791
014,passive,frontal,N1_frp,592,1.08491
014,passive,frontal,P2_frp,592,0.160115
014,passive,frontal,Late_frp,592,1.050235
014,constant,occipital,lambda,592,1.744808
014,constant,occipital,P1_frp,592,-1.985099
014,constant,occipital,N1_frp,592,1.251679
014,constant,occipital,P2_frp,592,0.402037
014,constant,occipital,Late_frp,592,-0.310915
014,constant,posterior,lambda,592,1.66765
014,constant,posterior,P1_frp,592,-0.429928
014,constant,posterior,N1_frp,592,2.128806
014,constant,posterior,P2_frp,592,0.568296
014,constant,posterior,Late_frp,592,-0.432516
014,constant,parietal,lambda,592,1.008424
014,constant,parietal,P1_frp,592,0.624565
014,constant,parietal,N1_frp,592,2.279624
014,constant,parietal,P2_frp,592,0.34218
014,constant,parietal,Late_frp,592,-0.692742
014,constant,frontal,lambda,592,0.158077
014,constant,frontal,P1_frp,592,0.881401
014,constant,frontal,N1_frp,592,0.198379
014,constant,frontal,P2_frp,592,-0.496545
014,constant,frontal,Late_frp,592,-0.266711
