condition,cluster,window,n,mean_amp_uv
active,occipital,P1,159,1.7927
passive,occipital,P1,153,1.281
constant,occipital,P1,12,3.0091
active,occipital,N1,159,4.5562
passive,occipital,N1,153,3.8758
constant,occipital,N1,12,1.8821
active,occipital,P2,159,5.0256
passive,occipital,P2,153,3.409
constant,occipital,P2,12,1.4011
active,occipital,P3,159,6.2727
passive,occipital,P3,153,3.4215
constant,occipital,P3,12,3.9465
active,occipital,Late,159,3.6224
passive,occipital,Late,153,1.8042
constant,occipital,Late,12,0.7233
active,posterior,P1,159,2.3324
passive,posterior,P1,153,1.6181
constant,posterior,P1,12,5.2874
active,posterior,N1,159,1.6942
passive,posterior,N1,153,1.3314
constant,posterior,N1,12,2.3854
active,posterior,P2,159,2.8006
passive,posterior,P2,153,1.1548
constant,posterior,P2,12,1.8896
active,posterior,P3,159,6.8105
passive,posterior,P3,153,3.5775
constant,posterior,P3,12,6.0883
active,posterior,Late,159,4.8068
passive,posterior,Late,153,2.6044
constant,posterior,Late,12,4.5986
active,parietal,P1,159,-2.466
passive,parietal,P1,153,-2.7578
constant,parietal,P1,12,1.9998
active,parietal,N1,159,-7.8551
passive,parietal,N1,153,-6.9567
constant,parietal,N1,12,-2.4471
active,parietal,P2,159,-10.2206
passive,parietal,P2,153,-10.3228
constant,parietal,P2,12,-8.3577
active,parietal,P3,159,-3.8246
passive,parietal,P3,153,-6.096
constant,parietal,P3,12,-3.3204
active,parietal,Late,159,-0.2021
passive,parietal,Late,153,-2.3874
constant,parietal,Late,12,2.0959
active,frontal,P1,159,-5.2534
passive,frontal,P1,153,-3.6944
constant,frontal,P1,12,-4.0024
active,frontal,N1,159,-11.7826
passive,frontal,N1,153,-8.9292
constant,frontal,N1,12,-6.0483
active,frontal,P2,159,-20.5046
passive,frontal,P2,153,-16.4903
constant,frontal,P2,12,-13.8911
active,frontal,P3,159,-18.1986
passive,frontal,P3,153,-15.5751
constant,frontal,P3,12,-14.7068
active,frontal,Late,159,-9.6333
passive,frontal,Late,153,-8.537
constant,frontal,Late,12,-6.0879
