condition,cluster,window,n,mean_amp_uv
active,occipital,P1,129,-1.6286
passive,occipital,P1,117,-3.2538
constant,occipital,P1,11,-8.2622
active,occipital,N1,129,5.7864
passive,occipital,N1,117,4.7829
constant,occipital,N1,11,2.333
active,occipital,P2,129,2.6835
passive,occipital,P2,117,1.4209
constant,occipital,P2,11,-1.672
active,occipital,P3,129,-0.0279
passive,occipital,P3,117,-1.1607
constant,occipital,P3,11,-5.4875
active,occipital,Late,129,-1.9616
passive,occipital,Late,117,-2.9338
constant,occipital,Late,11,-5.3088
active,posterior,P1,129,1.2491
passive,posterior,P1,117,-0.6922
constant,posterior,P1,11,-2.3958
active,posterior,N1,129,3.5202
passive,posterior,N1,117,3.1181
constant,posterior,N1,11,4.6886
active,posterior,P2,129,2.1212
passive,posterior,P2,117,1.0208
constant,posterior,P2,11,2.3919
active,posterior,P3,129,1.1797
passive,posterior,P3,117,0.5465
constant,posterior,P3,11,-0.0175
active,posterior,Late,129,-0.1598
passive,posterior,Late,117,-0.4177
constant,posterior,Late,11,0.3113
active,parietal,P1,129,1.2395
passive,parietal,P1,117,-1.2433
constant,parietal,P1,11,0.3135
active,parietal,N1,129,-0.9296
passive,parietal,N1,117,-0.2508
constant,parietal,N1,11,6.7427
active,parietal,P2,129,-2.4386
passive,parietal,P2,117,-2.789
constant,parietal,P2,11,4.7934
active,parietal,P3,129,-2.5286
passive,parietal,P3,117,-1.827
constant,parietal,P3,11,2.9176
active,parietal,Late,129,-1.7151
passive,parietal,Late,117,-0.7085
constant,parietal,Late,11,5.5521
active,frontal,P1,129,0.6285
passive,frontal,P1,117,-1.0007
constant,frontal,P1,11,1.7661
active,frontal,N1,129,-5.1254
passive,frontal,N1,117,-4.0552
constant,frontal,N1,11,4.5567
active,frontal,P2,129,-7.3556
passive,frontal,P2,117,-7.0434
constant,frontal,P2,11,5.4738
active,frontal,P3,129,-7.3232
passive,frontal,P3,117,-5.8766
constant,frontal,P3,11,5.2406
active,frontal,Late,129,-4.1174
passive,frontal,Late,117,-2.3109
constant,frontal,Late,11,7.1753
