subject,condition,cluster,window,n,mean_amp_uv
016,active,occipital,lambda,1181,4.624873
016,active,occipital,P1_frp,1181,-1.703367
016,active,occipital,N1_frp,1181,0.361514
016,active,occipital,P2_frp,1181,-0.787405
016,active,occipital,Late_frp,1181,-0.930287
016,active,posterior,lambda,1181,2.69505
016,active,posterior,P1_frp,1181,0.264343
016,active,posterior,N1_frp,1181,0.474167
016,active,posterior,P2_frp,1181,-0.5082
016,active,posterior,Late_frp,1181,-0.576359
016,active,parietal,lambda,1181,0.249151
016,active,parietal,P1_frp,1181,1.141889
016,active,parietal,N1_frp,1181,0.757773
016,active,parietal,P2_frp,1181,-0.185505
016,active,parietal,Late_frp,1181,0.290318
016,active,frontal,lambda,1181,-2.070571
016,active,frontal,P1_frp,1181,1.04121
016,active,frontal,N1_frp,1181,0.347103
016,active,frontal,P2_frp,1181,-0.021939
016,active,frontal,Late_frp,1181,0.884358
016,passive,occipital,lambda,1284,3.748611
016,passive,occipital,P1_frp,1284,-1.292005
016,passive,occipital,N1_frp,1284,0.132585
016,passive,occipital,P2_frp,1284,-0.565973
016,passive,occipital,Late_frp,1284,-0.728898
016,passive,posterior,lambda,1284,2.198863
016,passive,posterior,P1_frp,1284,0.546142
016,passive,posterior,N1_frp,1284,0.462819
016,passive,posterior,P2_frp,1284,-0.279888
016,passive,posterior,Late_frp,1284,-0.277916
016,passive,parietal,lambda,1284,0.280445
016,passive,parietal,P1_frp,1284,1.096293
016,passive,parietal,N1_frp,1284,0.936695
016,passive,parietal,P2_frp,1284,-0.135733
016,passive,parietal,Late_frp,1284,0.448209
016,passive,frontal,lambda,1284,-1.345782
016,passive,frontal,P1_frp,1284,0.998761
016,passive,frontal,N1_frp,1284,0.777914
016,passive,frontal,P2_frp,1284,0.158339
016,passive,frontal,Late_frp,1284,1.139393
016,constant,occipital,lambda,1542,3.530198
016,constant,occipital,P1_frp,1542,0.054376
016,constant,occipital,N1_frp,1542,0.851412
016,constant,occipital,P2_frp,1542,0.208202
016,constant,occipital,Late_frp,1542,0.009451
016,constant,posterior,lambda,1542,2.236815
016,constant,posterior,P1_frp,1542,1.211334
016,constant,posterior,N1_frp,1542,0.882532
016,constant,posterior,P2_frp,1542,0.251301
016,constant,posterior,Late_frp,1542,0.16442
016,constant,parietal,lambda,1542,0.522849
016,constant,parietal,P1_frp,1542,1.277778
016,constant,parietal,N1_frp,1542,0.94217
016,constant,parietal,P2_frp,1542,-0.079476
016,constant,parietal,Late_frp,1542,0.289341
016,constant,frontal,lambda,1542,-0.864901
016,constant,frontal,P1_frp,1542,0.624503
016,constant,frontal,N1_frp,1542,0.548484
016,constant,frontal,P2_frp,1542,-0.412023
016,constant,frontal,Late_frp,1542,0.295938
