condition,cluster,window,n,mean_amp_uv
active,occipital,P1,155,3.1376
passive,occipital,P1,156,3.8879
constant,occipital,P1,12,-0.0131
active,occipital,N1,155,9.0713
passive,occipital,N1,156,9.3776
constant,occipital,N1,12,6.6303
active,occipital,P2,155,11.2773
passive,occipital,P2,156,12.2427
constant,occipital,P2,12,7.2016
active,occipital,P3,155,9.1372
passive,occipital,P3,156,9.3121
constant,occipital,P3,12,4.2237
active,occipital,Late,155,4.69
passive,occipital,Late,156,6.0914
constant,occipital,Late,12,3.4522
active,posterior,P1,155,4.6161
passive,posterior,P1,156,5.2647
constant,posterior,P1,12,1.3572
active,posterior,N1,155,7.1094
passive,posterior,N1,156,7.2429
constant,posterior,N1,12,6.8769
active,posterior,P2,155,11.377
passive,posterior,P2,156,12.2556
constant,posterior,P2,12,9.7554
active,posterior,P3,155,9.4332
passive,posterior,P3,156,9.8396
constant,posterior,P3,12,7.147
active,posterior,Late,155,5.1185
passive,posterior,Late,156,6.9914
constant,posterior,Late,12,6.6078
active,parietal,P1,155,0.2775
passive,parietal,P1,156,0.7553
constant,parietal,P1,12,-0.3911
active,parietal,N1,155,-3.1749
passive,parietal,N1,156,-3.0543
constant,parietal,N1,12,-0.1072
active,parietal,P2,155,-0.4364
passive,parietal,P2,156,1.1433
constant,parietal,P2,12,2.3546
active,parietal,P3,155,-2.2794
passive,parietal,P3,156,-1.2426
constant,parietal,P3,12,-1.6803
active,parietal,Late,155,-2.7602
passive,parietal,Late,156,-0.6419
constant,parietal,Late,12,2.4276
active,frontal,P1,155,-5.3884
passive,frontal,P1,156,-3.5982
constant,frontal,P1,12,0.7083
active,frontal,N1,155,-11.6473
passive,frontal,N1,156,-10.6731
constant,frontal,N1,12,-6.897
active,frontal,P2,155,-11.0905
passive,frontal,P2,156,-8.6848
constant,frontal,P2,12,-4.5585
active,frontal,P3,155,-13.4653
passive,frontal,P3,156,-11.4873
constant,frontal,P3,12,-9.2164
active,frontal,Late,155,-11.3454
passive,frontal,Late,156,-9.861
constant,frontal,Late,12,-2.3249
