subject,condition,cluster,window,n,mean_amp_uv
022,active,occipital,lambda,1265,-0.083719
022,active,occipital,P1_frp,1265,1.204386
022,active,occipital,N1_frp,1265,0.428718
022,active,occipital,P2_frp,1265,-1.06846
022,active,occipital,Late_frp,1265,-1.377866
022,active,posterior,lambda,1265,-0.321328
022,active,posterior,P1_frp,1265,0.817923
022,active,posterior,N1_frp,1265,0.490983
022,active,posterior,P2_frp,1265,-0.865518
022,active,posterior,Late_frp,1265,-1.144777
022,active,parietal,lambda,1265,-0.637526
022,active,parietal,P1_frp,1265,-0.234979
022,active,parietal,N1_frp,1265,0.043649
022,active,parietal,P2_frp,1265,-0.558173
022,active,parietal,Late_frp,1265,-0.20439
022,active,frontal,lambda,1265,-0.204312
022,active,frontal,P1_frp,1265,-0.568676
022,active,frontal,N1_frp,1265,-0.754251
022,active,frontal,P2_frp,1265,-0.018554
022,active,frontal,Late_frp,1265,1.133924
022,passive,occipital,lambda,1199,0.018406
022,passive,occipital,P1_frp,1199,0.956385
022,passive,occipital,N1_frp,1199,0.430851
022,passive,occipital,P2_frp,1199,-0.667545
022,passive,occipital,Late_frp,1199,-1.18683
022,passive,posterior,lambda,1199,0.045527
022,passive,posterior,P1_frp,1199,0.716528
022,passive,posterior,N1_frp,1199,0.678541
022,passive,posterior,P2_frp,1199,-0.438574
022,passive,posterior,Late_frp,1199,-0.89256
022,passive,parietal,lambda,1199,-0.161144
022,passive,parietal,P1_frp,1199,-0.421834
022,passive,parietal,N1_frp,1199,0.365008
022,passive,parietal,P2_frp,1199,-0.192221
022,passive,parietal,Late_frp,1199,-0.018444
022,passive,frontal,lambda,1199,-0.044302
022,passive,frontal,P1_frp,1199,-0.87373
022,passive,frontal,N1_frp,1199,-0.448432
022,passive,frontal,P2_frp,1199,0.039312
022,passive,frontal,Late_frp,1199,1.01716
022,constant,occipital,lambda,1037,0.200187
022,constant,occipital,P1_frp,1037,1.494317
022,constant,occipital,N1_frp,1037,1.151402
022,constant,occipital,P2_frp,1037,0.315373
022,constant,occipital,Late_frp,1037,-0.197421
022,constant,posterior,lambda,1037,0.178378
022,constant,posterior,P1_frp,1037,1.267249
022,constant,posterior,N1_frp,1037,1.3707
022,constant,posterior,P2_frp,1037,0.482123
022,constant,posterior,Late_frp,1037,0.1762
022,constant,parietal,lambda,1037,-0.077748
022,constant,parietal,P1_frp,1037,0.027056
022,constant,parietal,N1_frp,1037,0.52378
022,constant,parietal,P2_frp,1037,0.227525
022,constant,parietal,Late_frp,1037,0.388837
022,constant,frontal,lambda,1037,0.137756
022,constant,frontal,P1_frp,1037,-0.546112
022,constant,frontal,N1_frp,1037,-1.055012
022,constant,frontal,P2_frp,1037,0.390186
022,constant,frontal,Late_frp,1037,1.104181
