cluster,window,comparison,condition_a,condition_b,n_a,n_b,mean_a_uv,mean_b_uv,mean_diff_uv,t_stat,p_value,cohens_d
occipital,lambda,active_vs_passive,active,passive,342,383,7.561195159219085,6.370486252481654,1.1907089067374308,1.5250129599711724,0.12769323395212592,0.11264970483931551
occipital,lambda,active_vs_constant,active,constant,342,418,7.561195159219085,6.105295526439633,1.4558996327794516,1.9607401476690776,0.05028128356825255,0.14193826372684232
occipital,lambda,passive_vs_constant,passive,constant,383,418,6.370486252481654,6.105295526439633,0.26519072604202076,0.34408023069738675,0.7308783088337589,0.02439646683020787
occipital,P1_frp,active_vs_passive,active,passive,342,383,0.10895044324945169,0.5113730207730531,-0.40242257752360144,-0.4611755494783867,0.6448117040393477,-0.03418644852921667
occipital,P1_frp,active_vs_constant,active,constant,342,418,0.10895044324945169,2.3488781089233415,-2.23992766567389,-2.680961552021059,0.007506104484634373,-0.19513956044950823
occipital,P1_frp,passive_vs_constant,passive,constant,383,418,0.5113730207730531,2.3488781089233415,-1.8375050881502883,-2.190641271472943,0.028771175328254784,-0.1552690641188288
occipital,N1_frp,active_vs_passive,active,passive,342,383,1.2706782853823277,1.8963032964153208,-0.6256250110329931,-0.6373049430165898,0.5241280214542906,-0.047147017401158633
occipital,N1_frp,active_vs_constant,active,constant,342,418,1.2706782853823277,3.49411700054965,-2.223438715167322,-2.378135054208718,0.01765338747954116,-0.17260840697175042
occipital,N1_frp,passive_vs_constant,passive,constant,383,418,1.8963032964153208,3.49411700054965,-1.597813704134329,-1.66960190652617,0.09539772078692589,-0.11837872084122578
occipital,P2_frp,active_vs_passive,active,passive,342,383,2.3067180554273117,2.8507384358689416,-0.5440203804416299,-0.4299735787107782,0.667343305769026,-0.031695968630402124
occipital,P2_frp,active_vs_constant,active,constant,342,418,2.3067180554273117,3.496639542904654,-1.1899214874773425,-1.0210050283350256,0.30758549763906023,-0.07409089846810601
occipital,P2_frp,passive_vs_constant,passive,constant,383,418,2.8507384358689416,3.496639542904654,-0.6459011070357126,-0.5223028647751868,0.6016101921569662,-0.03713215236388254
occipital,Late_frp,active_vs_passive,active,passive,342,383,3.3407073345030995,3.4026221562299885,-0.061914821726889,-0.03629456504395575,0.971057521189593,-0.002676427028499501
occipital,Late_frp,active_vs_constant,active,constant,342,418,3.3407073345030995,5.18304398238191,-1.8423366478788101,-1.1705428187660627,0.24215960258859298,-0.08497558620138645
occipital,Late_frp,passive_vs_constant,passive,constant,383,418,3.4026221562299885,5.18304398238191,-1.7804218261519211,-1.0697681358062754,0.28505970234094197,-0.07604527355348796
posterior,lambda,active_vs_passive,active,passive,342,383,5.4064876617466,4.720137787640476,0.6863498741061242,0.9876454322828425,0.3236570182561127,0.07313078791158452
posterior,lambda,active_vs_constant,active,constant,342,418,5.4064876617466,4.6435098411045646,0.7629778206420355,1.1233021148801121,0.26166989458144074,0.08123478158657547
posterior,lambda,passive_vs_constant,passive,constant,383,418,4.720137787640476,4.6435098411045646,0.0766279465359112,0.1112420109144903,0.9114525991193545,0.007869220853149611
posterior,P1_frp,active_vs_passive,active,passive,342,383,0.704276366750678,1.0132501422753706,-0.30897377552469263,-0.391605204921305,0.6954659008994354,-0.029063241487615885
posterior,P1_frp,active_vs_constant,active,constant,342,418,0.704276366750678,2.3932147057151574,-1.6889383389644794,-2.194874486495472,0.028483595952284467,-0.15947899876374047
posterior,P1_frp,passive_vs_constant,passive,constant,383,418,1.0132501422753706,2.3932147057151574,-1.3799645634397868,-1.8061557263101529,0.07127366577943349,-0.1278036585189858
posterior,N1_frp,active_vs_passive,active,passive,342,383,2.2561791850257253,2.63637409602779,-0.3801949110020648,-0.42058852789792595,0.6741808565501269,-0.031177581847537994
posterior,N1_frp,active_vs_constant,active,constant,342,418,2.2561791850257253,3.830839316796111,-1.5746601317703854,-1.7745992975972338,0.07637226811133063,-0.1284872779633338
posterior,N1_frp,passive_vs_constant,passive,constant,383,418,2.63637409602779,3.830839316796111,-1.1944652207683206,-1.341007819324222,0.18030152614617348,-0.09482937220505012
posterior,P2_frp,active_vs_passive,active,passive,342,383,2.3927057630062727,2.7910115735594343,-0.3983058105531616,-0.3466122422688211,0.7289835006616122,-0.02561919417602211
posterior,P2_frp,active_vs_constant,active,constant,342,418,2.3927057630062727,3.2587142133774147,-0.866008450371142,-0.7896507074205412,0.4299831558328166,-0.0571898067645582
posterior,P2_frp,passive_vs_constant,passive,constant,383,418,2.7910115735594343,3.2587142133774147,-0.46770263981798044,-0.41326623412116575,0.6795244991849823,-0.02929404179098984
posterior,Late_frp,active_vs_passive,active,passive,342,383,3.9014707836604336,4.0314488268791955,-0.12997804321876183,-0.08357742028266349,0.9334155550184832,-0.006179611585702825
posterior,Late_frp,active_vs_constant,active,constant,342,418,3.9014707836604336,5.358889222486441,-1.4574184388260076,-0.9818228577034881,0.32650657571657343,-0.07115404706019264
posterior,Late_frp,passive_vs_constant,passive,constant,383,418,4.0314488268791955,5.358889222486441,-1.3274403956072458,-0.8693668518319264,0.3849124279930616,-0.06162524593015804
parietal,lambda,active_vs_passive,active,passive,342,383,1.8527733410417653,1.7428862981829296,0.10988704285883566,0.15627610994709018,0.875859126592037,0.011585816001706049
parietal,lambda,active_vs_constant,active,constant,342,418,1.8527733410417653,2.35991989832492,-0.5071465572831546,-0.7303021342509545,0.46543445309769965,-0.05282173531268825
parietal,lambda,passive_vs_constant,passive,constant,383,418,1.7428862981829296,2.35991989832492,-0.6170336001419903,-0.8861043088318924,0.37582920098752537,-0.06262688555947776
parietal,P1_frp,active_vs_passive,active,passive,342,383,1.6888914146957443,1.4630507833460358,0.22584063134970855,0.2747363338148119,0.783597696433901,0.020390653238210793
parietal,P1_frp,active_vs_constant,active,constant,342,418,1.6888914146957443,2.402575430881068,-0.7136840161853235,-0.8829296101783565,0.37756052107515864,-0.0640472430770572
parietal,P1_frp,passive_vs_constant,passive,constant,383,418,1.4630507833460358,2.402575430881068,-0.9395246475350321,-1.1709798636394855,0.24195813010856512,-0.08279565468685522
parietal,N1_frp,active_vs_passive,active,passive,342,383,3.9260199611686457,3.9344467270178884,-0.008426765849242734,-0.008725108494602427,0.993040874010687,-0.0006471009845959137
parietal,N1_frp,active_vs_constant,active,constant,342,418,3.9260199611686457,4.741105786911979,-0.8150858257433335,-0.8687126822371116,0.3852864984743575,-0.06309275622559583
parietal,N1_frp,passive_vs_constant,passive,constant,383,418,3.9344467270178884,4.741105786911979,-0.8066590598940908,-0.8603916957797603,0.3898340225013917,-0.06090163026829583
parietal,P2_frp,active_vs_passive,active,passive,342,383,3.201813885747302,2.9505734270992208,0.2512404586480814,0.2066189928789662,0.8363656731161616,0.015304543204460744
parietal,P2_frp,active_vs_constant,active,constant,342,418,3.201813885747302,3.7753876203747336,-0.5735737346274314,-0.49437754620935614,0.6211872707454259,-0.03595693615197896
parietal,P2_frp,passive_vs_constant,passive,constant,383,418,2.9505734270992208,3.7753876203747336,-0.8248141932755129,-0.7028462623193246,0.4823603082096727,-0.04983004003428166
parietal,Late_frp,active_vs_passive,active,passive,342,383,6.097859609624861,5.727543991978082,0.37031561764677967,0.22046332986580006,0.8255726567645515,0.01633217638427595
parietal,Late_frp,active_vs_constant,active,constant,342,418,6.097859609624861,6.69644976061551,-0.5985901509906482,-0.37659499169947647,0.7065840971421101,-0.027447266856765018
parietal,Late_frp,passive_vs_constant,passive,constant,383,418,5.727543991978082,6.69644976061551,-0.9689057686374278,-0.6033061027241994,0.546480582790134,-0.04280713286147875
frontal,lambda,active_vs_passive,active,passive,342,383,-1.7773973431082073,-1.7729643889664404,-0.0044329541417669205,-0.008175216857618853,0.9934794629687758,-0.0006070643768114412
frontal,lambda,active_vs_constant,active,constant,342,418,-1.7773973431082073,-1.0042488609713676,-0.7731484821368397,-1.3944326435028465,0.16359811179346612,-0.10044690312193827
frontal,lambda,passive_vs_constant,passive,constant,383,418,-1.7729643889664404,-1.0042488609713676,-0.7687155279950728,-1.4020869344413058,0.16127766054489062,-0.09879392230770884
frontal,P1_frp,active_vs_passive,active,passive,342,383,1.7260398451337697,0.9755187668485514,0.7505210782852183,1.1849418843041395,0.23643382392618317,0.088099499155724
frontal,P1_frp,active_vs_constant,active,constant,342,418,1.7260398451337697,0.7633077224027929,0.9627321227309769,1.484979844514187,0.13796892051299692,0.10717021763463475
