condition,cluster,window,n,mean_amp_uv
active,occipital,P1,71,1.5135
passive,occipital,P1,69,1.4347
constant,occipital,P1,6,-2.0775
active,occipital,N1,71,8.9008
passive,occipital,N1,69,8.6574
constant,occipital,N1,6,0.39
active,occipital,P2,71,13.4893
passive,occipital,P2,69,12.195
constant,occipital,P2,6,5.1221
active,occipital,P3,71,10.0881
passive,occipital,P3,69,9.2046
constant,occipital,P3,6,-3.5059
active,occipital,Late,71,9.304
passive,occipital,Late,69,9.1309
constant,occipital,Late,6,-2.7958
active,posterior,P1,71,1.8251
passive,posterior,P1,69,1.4179
constant,posterior,P1,6,-1.983
active,posterior,N1,71,6.9549
passive,posterior,N1,69,6.6348
constant,posterior,N1,6,1.4696
active,posterior,P2,71,11.1688
passive,posterior,P2,69,9.9666
constant,posterior,P2,6,5.6152
active,posterior,P3,71,8.5746
passive,posterior,P3,69,7.8601
constant,posterior,P3,6,-1.7473
active,posterior,Late,71,8.7782
passive,posterior,Late,69,9.0403
constant,posterior,Late,6,-0.3882
active,parietal,P1,71,-1.5572
passive,parietal,P1,69,-2.1383
constant,parietal,P1,6,-7.7402
active,parietal,N1,71,1.7457
passive,parietal,N1,69,0.6043
constant,parietal,N1,6,-2.9061
active,parietal,P2,71,3.3813
passive,parietal,P2,69,1.578
constant,parietal,P2,6,0.2685
active,parietal,P3,71,3.8139
passive,parietal,P3,69,2.1404
constant,parietal,P3,6,-2.6015
active,parietal,Late,71,6.2536
passive,parietal,Late,69,5.3844
constant,parietal,Late,6,0.6651
active,frontal,P1,71,-5.0582
passive,frontal,P1,69,-5.1636
constant,frontal,P1,6,-10.0287
active,frontal,N1,71,-4.3149
passive,frontal,N1,69,-5.2426
constant,frontal,N1,6,-6.9492
active,frontal,P2,71,-8.2241
passive,frontal,P2,69,-8.9513
constant,frontal,P2,6,-7.879
active,frontal,P3,71,-4.7136
passive,frontal,P3,69,-6.9725
constant,frontal,P3,6,-7.4109
active,frontal,Late,71,-1.3514
passive,frontal,Late,69,-4.0758
constant,frontal,Late,6,-6.2055
