condition,cluster,window,n,mean_amp_uv
active,occipital,P1,116,8.0797
passive,occipital,P1,134,8.7741
constant,occipital,P1,9,10.509
active,occipital,N1,116,10.3901
passive,occipital,N1,134,11.9836
constant,occipital,N1,9,10.058
active,occipital,P2,116,13.3746
passive,occipital,P2,134,14.0833
constant,occipital,P2,9,8.4027
active,occipital,P3,116,8.877
passive,occipital,P3,134,10.0676
constant,occipital,P3,9,0.3622
active,occipital,Late,116,7.4291
passive,occipital,Late,134,8.8398
constant,occipital,Late,9,7.2217
active,posterior,P1,116,7.0767
passive,posterior,P1,134,6.348
constant,posterior,P1,9,6.7952
active,posterior,N1,116,10.0089
passive,posterior,N1,134,9.6587
constant,posterior,N1,9,6.9174
active,posterior,P2,116,13.6569
passive,posterior,P2,134,12.0315
constant,posterior,P2,9,8.4373
active,posterior,P3,116,11.8234
passive,posterior,P3,134,9.5082
constant,posterior,P3,9,2.5046
active,posterior,Late,116,15.358
passive,posterior,Late,134,9.8073
constant,posterior,Late,9,9.9848
active,parietal,P1,116,-0.9915
passive,parietal,P1,134,-1.2429
constant,parietal,P1,9,-0.2809
active,parietal,N1,116,0.1328
passive,parietal,N1,134,0.2219
constant,parietal,N1,9,0.7681
active,parietal,P2,116,-0.3777
passive,parietal,P2,134,-1.4503
constant,parietal,P2,9,-6.3798
active,parietal,P3,116,-2.4463
passive,parietal,P3,134,-2.9922
constant,parietal,P3,9,-12.0513
active,parietal,Late,116,4.0741
passive,parietal,Late,134,2.1384
constant,parietal,Late,9,-1.0091
active,frontal,P1,116,-6.7194
passive,frontal,P1,134,-7.7941
constant,frontal,P1,9,-11.8618
active,frontal,N1,116,-8.011
passive,frontal,N1,134,-9.4023
constant,frontal,N1,9,-9.7043
active,frontal,P2,116,-14.6031
passive,frontal,P2,134,-14.7391
constant,frontal,P2,9,-22.0907
active,frontal,P3,116,-18.8363
passive,frontal,P3,134,-16.4822
constant,frontal,P3,9,-25.7801
active,frontal,Late,116,-23.1326
passive,frontal,Late,134,-13.0065
constant,frontal,Late,9,-16.5845
