cluster,window,comparison,condition_a,condition_b,n_a,n_b,mean_a_uv,mean_b_uv,mean_diff_uv,t_stat,p_value,cohens_d
occipital,lambda,active_vs_passive,active,passive,406,576,4.55919847031878,3.6939256431188188,0.865272827199961,1.7768468950731904,0.07596821776339693,0.11732109867850424
occipital,lambda,active_vs_constant,active,constant,406,995,4.55919847031878,3.4664522127028614,1.0927462576159184,2.505129172838367,0.012494571179939294,0.16230734650615256
occipital,lambda,passive_vs_constant,passive,constant,576,995,3.6939256431188188,3.4664522127028614,0.22747343041595736,0.6439394898813984,0.5197506331470377,0.034820761783224734
occipital,P1_frp,active_vs_passive,active,passive,406,576,2.584562071748361,2.084678950877484,0.49988312087087694,0.9765072529113566,0.32909699498581324,0.06407101009183616
occipital,P1_frp,active_vs_constant,active,constant,406,995,2.584562071748361,1.8637178753430457,0.7208441964053154,1.5835386579666455,0.11379479214868073,0.10135571851694558
occipital,P1_frp,passive_vs_constant,passive,constant,576,995,2.084678950877484,1.8637178753430457,0.22096107553443844,0.5826427308966194,0.5602554382768347,0.031561218138506174
occipital,N1_frp,active_vs_passive,active,passive,406,576,-1.4590742199846218,-2.141896253161698,0.682822033177076,1.2982929469826832,0.19454756105002122,0.08525000805890612
occipital,N1_frp,active_vs_constant,active,constant,406,995,-1.4590742199846218,-1.1600149402099933,-0.29905927977462854,-0.636972873108611,0.5243695247249455,-0.04060301838624616
occipital,N1_frp,passive_vs_constant,passive,constant,576,995,-2.141896253161698,-1.1600149402099933,-0.9818813129517046,-2.5155954590122125,0.012025606988803037,-0.13574660183329
occipital,P2_frp,active_vs_passive,active,passive,406,576,-0.4487948379886355,-1.5991573415637126,1.150362503575077,1.9035444300072282,0.05731793063185063,0.12521663398004648
occipital,P2_frp,active_vs_constant,active,constant,406,995,-0.4487948379886355,-0.7737937255109846,0.32499888752234907,0.6073749442127683,0.5438260040759595,0.039633059194165154
occipital,P2_frp,passive_vs_constant,passive,constant,576,995,-1.5991573415637126,-0.7737937255109846,-0.825363616052728,-1.8793656579887774,0.060470963815296014,-0.10268449078005788
occipital,Late_frp,active_vs_passive,active,passive,406,576,-1.2284494240549937,-2.0647144899897967,0.836265065934803,1.1350998730264705,0.2566680237454977,0.07490354285537301
occipital,Late_frp,active_vs_constant,active,constant,406,995,-1.2284494240549937,-0.99447039044271,-0.23397903361228367,-0.36051351428345657,0.7185920644369379,-0.024112253002399168
occipital,Late_frp,passive_vs_constant,passive,constant,576,995,-2.0647144899897967,-0.99447039044271,-1.0702440995470868,-2.0480608761623103,0.04081096627636203,-0.11318720221195211
posterior,lambda,active_vs_passive,active,passive,406,576,3.2047345131726996,1.9115985284997592,1.2931359846729404,2.920757957588404,0.0035859452267446986,0.19150962698490312
posterior,lambda,active_vs_constant,active,constant,406,995,3.2047345131726996,1.4454413172096146,1.759293195963085,4.433008550678692,1.0885892768157815e-05,0.27882237837113816
posterior,lambda,passive_vs_constant,passive,constant,576,995,1.9115985284997592,1.4454413172096146,0.46615721129014465,1.4004516831528984,0.1616562539385111,0.07508897528261227
posterior,P1_frp,active_vs_passive,active,passive,406,576,2.2003866874668456,1.1610555070949056,1.03933118037194,2.2361919719297445,0.025602699315393496,0.1465988185552613
posterior,P1_frp,active_vs_constant,active,constant,406,995,2.2003866874668456,0.6531014969088429,1.5472851905580027,3.7157816210695462,0.00021979351023931692,0.23376232924400203
posterior,P1_frp,passive_vs_constant,passive,constant,576,995,1.1610555070949056,0.6531014969088429,0.5079540101860627,1.4534967974531792,0.14636755018597608,0.07796441615216762
posterior,N1_frp,active_vs_passive,active,passive,406,576,1.077295319790263,0.22595599797376842,0.8513393218164946,1.747970683779111,0.08082980416614591,0.11402960229624927
