sub,est_ratio_active,est_ratio_active_sd,est_n_active,est_ratio_passive,est_ratio_passive_sd,est_n_passive,est_ratio_constant,est_ratio_constant_sd,est_n_constant,est_ratio_diff_ap,recog_acc_active,recog_n_active,recog_acc_passive,recog_n_passive,recog_diff_ap,erp_active_P1,erp_active_N1,erp_active_P2,erp_active_P3,erp_active_Late,erp_passive_P1,erp_passive_N1,erp_passive_P2,erp_passive_P3,erp_passive_Late,erp_diff_P1,erp_diff_N1,erp_diff_P2,erp_diff_P3,erp_diff_Late
001,0.3280916912384765,0.07668620334193499,12,0.33005798234370093,0.08171235038460944,12,0.37503083791573116,0.10259908811335124,12,-0.001966291105224449,0.8333333333333334,12,0.6666666666666666,12,0.16666666666666674,6.578258604537552,10.9872611172013,14.548922808075373,10.326080746772815,6.182974579526157,6.092257051191244,9.309965034286172,14.645584724660052,11.633405786826208,6.692365097661789,0.48600155334630823,1.6772960829151273,-0.09666191658467937,-1.3073250400533922,-0.5093905181356329
002,0.3088707949786225,0.15523889454152864,12,0.3648009233858082,0.22978355516201235,12,1.142589736081844,0.4249318753404278,12,-0.0559301284071857,0.9166666666666666,12,0.75,12,0.16666666666666663,3.3790209369648245,5.792014599017577,14.200528141923016,14.23944553227243,9.139184776016275,3.725200440394932,5.50438023601977,13.29311660409294,12.294712073787858,9.545523587499352,-0.3461795034301076,0.28763436299780665,0.9074115378300753,1.9447334584845724,-0.40633881148307616
004,0.5955486127577394,0.08320520374184456,12,0.642306694577892,0.14066050014556253,12,0.9207139893665676,0.21085390402479096,12,-0.04675808182015262,1.0,12,1.0,12,0.0,3.915843416700498,3.0595599823674764,9.925412286560416,5.954459413505689,3.6113083656399385,2.528436902224487,1.9940038702648764,8.86045752882609,4.570226943502543,2.393849859172905,1.387406514476011,1.0655561121026,1.0649547577343252,1.3842324700031465,1.2174585064670334
005,0.6511990159491948,0.40887612577333277,12,0.6967122130793356,0.36085026002017945,12,0.7124555428718864,0.23401240691779,12,-0.04551319713014079,0.9166666666666666,12,1.0,12,-0.08333333333333337,2.401678957980076,10.145777033915548,10.91581267009626,6.663509365808493,4.289543311669317,1.2645810777727358,8.312467999582516,10.574198314664459,7.391060339634306,4.044704467102476,1.1370978802073404,1.8333090343330323,0.3416143554318012,-0.7275509738258128,0.24483884456684102
006,0.41164308372439784,0.11264905485003625,12,0.3918385469995331,0.10791958856110842,12,0.542434474366941,0.10121296368943766,12,0.019804536724864763,0.9166666666666666,12,0.6666666666666666,12,0.25,0.5352630422898133,2.9297152468386947,4.894805534064167,1.9390436881621644,-0.15692272325235163,0.6562498766819745,2.1753370440217696,4.927564650242989,1.3862165096088894,-0.5418171583672611,-0.12098683439216129,0.754378202816925,-0.03275911617882166,0.552827178553275,0.38489443511490945
007,0.6847921213405387,0.21440981249246488,12,0.8609298472534702,0.29060119327183365,12,0.970822211649757,0.33083226538088273,12,-0.17613772591293153,0.9166666666666666,12,0.9166666666666666,12,0.0,1.5575476879873287,4.873863705041426,6.001127412082352,5.296432411201947,1.8849500827569174,0.5137450213810091,4.082965969205598,5.456109685093744,4.217205339054389,1.9651089494053742,1.0438026666063196,0.790897735835828,0.5450177269886076,1.0792270721475585,-0.08015886664845673
008,0.40815981399318485,0.05215919763444311,3,0.3967191831604317,0.045750642342107614,3,0.5595686525175511,0.05703681219973602,3,0.011440630832753151,0.6666666666666666,3,0.6666666666666666,3,0.0,1.7082331386556158,7.684610460912849,12.038972191267073,9.14219012642556,8.975388302082422,1.424242570565378,7.393268608006329,10.802239318092694,8.364327043233619,9.074271583828828,0.2839905680902377,0.2913418529065206,1.236732873174379,0.7778630831919404,-0.09888328174640648
009,0.6392781941650073,0.09294775762684995,12,0.6915612758785615,0.15246237095978413,12,0.7117684335290954,0.09383897518731735,12,-0.052283081713554225,0.9166666666666666,12,1.0,12,-0.08333333333333337,4.148185461126168,9.770829833302235,7.104973804374381,5.704544025469996,3.7112907758923863,3.3578610548010572,7.899784117757288,5.650634774963884,4.042751758922206,1.1792136786146454,0.7903244063251109,1.8710457155449474,1.4543390294104963,1.6617922665477902,2.5320770972777407
010,0.5017936117696746,0.162852058292472,12,0.5666626430583245,0.2084983954168389,12,0.5730067251837175,0.22141484653852658,12,-0.06486903128864985,1.0,12,0.9166666666666666,12,0.08333333333333337,-3.1321690688457937,5.9011645025831125,8.132105963353627,6.267689787926033,4.187996239157452,-2.2588266306109124,5.117360654585435,6.826586170000375,5.044854585625804,3.5554621068241965,-0.8733424382348813,0.7838038479976772,1.3055197933532519,1.222835202300229,0.6325341323332556
011,0.18760848086693163,0.0278902067752184,12,0.16100369351141156,0.020042964969621224,12,0.1950607598467429,0.05567240916555286,12,0.026604787355520076,0.9166666666666666,12,0.9166666666666666,12,0.0,3.1606101161040363,12.368992534417828,14.823022209530418,9.404924452855305,6.063355313704265,3.781850877028796,12.5089681695076,15.128895842326758,9.404295869885535,6.222521269360457,-0.6212407609247599,-0.1399756350897725,-0.30587363279633983,0.000628582969769198,-0.15916595565619218
