condition,cluster,window,n,mean_amp_uv
active,occipital,P1,159,1.7408
passive,occipital,P1,150,2.0335
constant,occipital,P1,11,2.0527
active,occipital,N1,159,8.6111
passive,occipital,N1,150,6.1314
constant,occipital,N1,11,3.0526
active,occipital,P2,159,11.6577
passive,occipital,P2,150,9.636
constant,occipital,P2,11,6.3936
active,occipital,P3,159,7.4418
passive,occipital,P3,150,5.028
constant,occipital,P3,11,2.6472
active,occipital,Late,159,3.8549
passive,occipital,Late,150,2.0294
constant,occipital,Late,11,-3.7751
active,posterior,P1,159,1.5398
passive,posterior,P1,150,1.6254
constant,posterior,P1,11,3.708
active,posterior,N1,159,9.9618
passive,posterior,N1,150,6.891
constant,posterior,N1,11,6.3786
active,posterior,P2,159,12.4246
passive,posterior,P2,150,9.9868
constant,posterior,P2,11,9.7751
active,posterior,P3,159,8.1509
passive,posterior,P3,150,5.2846
constant,posterior,P3,11,6.4255
active,posterior,Late,159,4.5453
passive,posterior,Late,150,2.4145
constant,posterior,Late,11,-0.2006
active,parietal,P1,159,-2.1965
passive,parietal,P1,150,-1.7878
constant,parietal,P1,11,0.6388
active,parietal,N1,159,4.173
passive,parietal,N1,150,2.2031
constant,parietal,N1,11,7.7788
active,parietal,P2,159,2.8747
passive,parietal,P2,150,2.0253
constant,parietal,P2,11,7.528
active,parietal,P3,159,1.39
passive,parietal,P3,150,-0.2425
constant,parietal,P3,11,5.9711
active,parietal,Late,159,1.2321
passive,parietal,Late,150,-0.2971
constant,parietal,Late,11,2.9757
active,frontal,P1,159,-4.1306
passive,frontal,P1,150,-3.4965
constant,frontal,P1,11,-5.6745
active,frontal,N1,159,-6.1123
passive,frontal,N1,150,-4.1833
constant,frontal,N1,11,3.9894
active,frontal,P2,159,-12.306
passive,frontal,P2,150,-8.7995
constant,frontal,P2,11,-0.1611
active,frontal,P3,159,-12.2775
passive,frontal,P3,150,-9.7152
constant,frontal,P3,11,-3.0539
active,frontal,Late,159,-6.0001
passive,frontal,Late,150,-4.6706
constant,frontal,Late,11,-0.8365
