subject,condition,cluster,window,n,mean_amp_uv
012,active,occipital,lambda,1017,4.703882
012,active,occipital,P1_frp,1017,1.706889
012,active,occipital,N1_frp,1017,-1.545733
012,active,occipital,P2_frp,1017,-0.700218
012,active,occipital,Late_frp,1017,-1.337559
012,active,posterior,lambda,1017,3.678777
012,active,posterior,P1_frp,1017,1.769052
012,active,posterior,N1_frp,1017,-0.74355
012,active,posterior,P2_frp,1017,-0.936536
012,active,posterior,Late_frp,1017,-1.28771
012,active,parietal,lambda,1017,0.485118
012,active,parietal,P1_frp,1017,0.372233
012,active,parietal,N1_frp,1017,0.741053
012,active,parietal,P2_frp,1017,-0.905083
012,active,parietal,Late_frp,1017,-0.258262
012,active,frontal,lambda,1017,-2.573408
012,active,frontal,P1_frp,1017,-1.299329
012,active,frontal,N1_frp,1017,1.804759
012,active,frontal,P2_frp,1017,0.088862
012,active,frontal,Late_frp,1017,1.855598
012,passive,occipital,lambda,780,3.991506
012,passive,occipital,P1_frp,780,1.841603
012,passive,occipital,N1_frp,780,-2.13696
012,passive,occipital,P2_frp,780,-0.436733
012,passive,occipital,Late_frp,780,-1.270242
012,passive,posterior,lambda,780,2.854404
012,passive,posterior,P1_frp,780,1.600614
012,passive,posterior,N1_frp,780,-1.368635
012,passive,posterior,P2_frp,780,-0.76795
012,passive,posterior,Late_frp,780,-1.323398
012,passive,parietal,lambda,780,0.111567
012,passive,parietal,P1_frp,780,-0.08384
012,passive,parietal,N1_frp,780,0.45395
012,passive,parietal,P2_frp,780,-0.91489
012,passive,parietal,Late_frp,780,-0.416602
012,passive,frontal,lambda,780,-2.586925
012,passive,frontal,P1_frp,780,-1.810351
012,passive,frontal,N1_frp,780,1.876095
012,passive,frontal,P2_frp,780,-0.022011
012,passive,frontal,Late_frp,780,1.66799
012,constant,occipital,lambda,1071,3.421827
012,constant,occipital,P1_frp,1071,1.791443
012,constant,occipital,N1_frp,1071,-0.790378
012,constant,occipital,P2_frp,1071,-0.010237
012,constant,occipital,Late_frp,1071,-0.836435
012,constant,posterior,lambda,1071,2.709363
012,constant,posterior,P1_frp,1071,1.866972
012,constant,posterior,N1_frp,1071,-0.061437
012,constant,posterior,P2_frp,1071,-0.225012
012,constant,posterior,Late_frp,1071,-0.852074
012,constant,parietal,lambda,1071,0.13381
012,constant,parietal,P1_frp,1071,0.093411
012,constant,parietal,N1_frp,1071,0.468739
012,constant,parietal,P2_frp,1071,-1.056387
012,constant,parietal,Late_frp,1071,-1.045023
012,constant,frontal,lambda,1071,-2.032757
012,constant,frontal,P1_frp,1071,-1.540486
012,constant,frontal,N1_frp,1071,0.603084
012,constant,frontal,P2_frp,1071,-1.431996
012,constant,frontal,Late_frp,1071,-0.614209
