family,x,y,n,r,p,spearman_rho,spearman_p,p_fdr,sig_fdr_05
condition_level_active,lambda_amp_uV_active,estimated_duration_s_active,23,-0.19493256761140448,0.3727555899936728,-0.2994811062516393,0.165053899219005,0.7132689756389635,False
condition_level_active,lambda_amp_uV_active,estimation_ratio_active,23,-0.023209421800647854,0.916284597853719,-0.03853754940711463,0.861411866221951,0.916284597853719,False
condition_level_active,lambda_amp_uV_active,recognition_accuracy_active,23,-0.5058714494495039,0.01378882345678271,-0.40699860076761263,0.053925254541481504,0.4826088209873948,False
condition_level_active,lambda_amp_uV_active,variability_sd_s_active,22,-0.21433353904181315,0.33815071944925357,-0.2670807453416149,0.22952835250286968,0.7132689756389635,False
condition_level_active,lambda_amp_uV_active,recognition_rt_s_active,23,-0.14140789443717713,0.5198374320952032,-0.1314229249011858,0.5500163417360642,0.7132689756389635,False
condition_level_active,early_lpp_rise50_latency_ms_active,estimated_duration_s_active,23,0.22986164615315952,0.29137368040957085,0.15913022477397337,0.46830228839360566,0.7132689756389635,False
condition_level_active,early_lpp_rise50_latency_ms_active,estimation_ratio_active,23,0.10192006779272117,0.6435496508415259,0.09980237154150197,0.6504928119104103,0.7707780417565253,False
condition_level_active,early_lpp_rise50_latency_ms_active,recognition_accuracy_active,23,-0.2114900031289758,0.332682170413311,-0.17084536900001196,0.4357382258775523,0.7132689756389635,False
condition_level_active,early_lpp_rise50_latency_ms_active,variability_sd_s_active,22,0.18357229173132517,0.4134975174679822,0.15866741953698477,0.48064705182624184,0.7132689756389635,False
condition_level_active,early_lpp_rise50_latency_ms_active,recognition_rt_s_active,23,0.04929246610999327,0.8232626515037447,0.04150197628458498,0.8508629902593835,0.8474762589009136,False
condition_level_active,early_lpp_peak_amp_uV_active,estimated_duration_s_active,23,0.17293408442040012,0.43006249561679805,-0.03311094739085781,0.8807805981062284,0.7132689756389635,False
condition_level_active,early_lpp_peak_amp_uV_active,estimation_ratio_active,23,0.38608187935372107,0.06881643965250717,-0.2233201581027668,0.3056986083624989,0.6682389234235446,False
condition_level_active,early_lpp_peak_amp_uV_active,recognition_accuracy_active,23,0.08596665210549172,0.696526606473511,-0.08672884175535776,0.6939617242187139,0.7707780417565253,False
condition_level_active,early_lpp_peak_amp_uV_active,variability_sd_s_active,22,0.19856426700467544,0.37569730066749907,0.016374929418407683,0.9423421025261127,0.7132689756389635,False
condition_level_active,early_lpp_peak_amp_uV_active,recognition_rt_s_active,23,0.15666042640869315,0.4753229471801041,0.05632411067193676,0.7985226107639527,0.7132689756389635,False
condition_level_active,rising_flank_amp_uV_active,estimated_duration_s_active,23,0.10444206978623198,0.6353184158777835,0.09834445568329409,0.6552892223002402,0.7707780417565253,False
condition_level_active,rising_flank_amp_uV_active,estimation_ratio_active,23,0.3918205251910029,0.06445162938604347,-0.05533596837944664,0.801988546342079,0.6682389234235446,False
condition_level_active,rising_flank_amp_uV_active,recognition_accuracy_active,23,0.19925840855416305,0.3620285348111427,0.04179703217125676,0.8498143595269622,0.7132689756389635,False
condition_level_active,rising_flank_amp_uV_active,variability_sd_s_active,22,0.218655321797858,0.3282638199123913,0.07284020327498589,0.7473495204277644,0.7132689756389635,False
condition_level_active,rising_flank_amp_uV_active,recognition_rt_s_active,23,0.16475212587922722,0.4525219697534478,0.10177865612648221,0.644012399414326,0.7132689756389635,False
condition_level_active,early_lpp_amp_uV_active,estimated_duration_s_active,23,0.1891692107747853,0.3873269969860981,0.012354831115991722,0.955382173930466,0.7132689756389635,False
