family,x,y,n,r,p,spearman_rho,spearman_p,p_fdr,sig_fdr_05
neural_behavior_effect_screen,lambda_amp_uV_active_minus_passive,estimation_ratio_active_minus_passive,23,0.1918019819085206,0.38063113339267124,0.18280632411067196,0.40378154190875576,0.9571462646876779,False
neural_behavior_effect_screen,lambda_amp_uV_active_minus_passive,estimated_duration_s_active_minus_passive,23,0.15454026493153253,0.4813921095008236,0.2114624505928854,0.33274662815677036,0.9571462646876779,False
neural_behavior_effect_screen,lambda_amp_uV_active_minus_passive,recognition_accuracy_active_minus_passive,23,-0.12623693079165985,0.5659992457953182,-0.03774539575782972,0.8642346930550605,0.9571462646876779,False
neural_behavior_effect_screen,lambda_amp_uV_active_minus_passive,variability_sd_s_active_minus_passive,22,-0.024477849341062882,0.9138963286440545,-0.010728402032749858,0.9622067945199976,0.9595911450762572,False
neural_behavior_effect_screen,lambda_amp_uV_active_minus_passive,recognition_rt_s_active_minus_passive,23,-0.05465428639705102,0.8043816742629037,-0.03656126482213439,0.868457309937357,0.9571462646876779,False
neural_behavior_effect_screen,lambda_amp_uV_active_minus_passive,estimation_ratio_active_minus_constant,22,0.0889562267950556,0.6938258321006857,0.11349520045172222,0.6150373834928408,0.9571462646876779,False
neural_behavior_effect_screen,lambda_amp_uV_active_minus_passive,estimation_ratio_passive_minus_constant,22,-0.04785640963969411,0.8325091873483047,0.050254093732354614,0.8242411656048835,0.9571462646876779,False
neural_behavior_effect_screen,early_lpp_rise50_latency_ms_active_minus_passive,estimation_ratio_active_minus_passive,23,0.059749707467438476,0.7865360772732111,0.03063241106719368,0.8896497392010411,0.9571462646876779,False
neural_behavior_effect_screen,early_lpp_rise50_latency_ms_active_minus_passive,estimated_duration_s_active_minus_passive,23,0.037253188336549066,0.8659894775745658,0.11363636363636365,0.6056681466311387,0.9571462646876779,False
neural_behavior_effect_screen,early_lpp_rise50_latency_ms_active_minus_passive,recognition_accuracy_active_minus_passive,23,-0.21270526628318082,0.3298465585429894,-0.2310630307877954,0.288789061726351,0.9571462646876779,False
neural_behavior_effect_screen,early_lpp_rise50_latency_ms_active_minus_passive,variability_sd_s_active_minus_passive,22,-0.05175414570998528,0.8190775613916729,0.009599096555618296,0.9661826982649288,0.9571462646876779,False
neural_behavior_effect_screen,early_lpp_rise50_latency_ms_active_minus_passive,recognition_rt_s_active_minus_passive,23,0.05874036079787508,0.7900631514408273,0.10177865612648221,0.644012399414326,0.9571462646876779,False
neural_behavior_effect_screen,early_lpp_rise50_latency_ms_active_minus_passive,estimation_ratio_active_minus_constant,22,-0.12659219682700246,0.5745405030791982,-0.05702992659514399,0.8009755903446721,0.9571462646876779,False
neural_behavior_effect_screen,early_lpp_rise50_latency_ms_active_minus_passive,estimation_ratio_passive_minus_constant,22,-0.2252451113820818,0.3135255764301402,-0.14963297571993225,0.5062867949707297,0.9571462646876779,False
neural_behavior_effect_screen,early_lpp_faster_rise_advantage_ms_passive_minus_active,estimation_ratio_active_minus_passive,23,-0.059749707467438476,0.7865360772732111,-0.03063241106719368,0.8896497392010411,0.9571462646876779,False
neural_behavior_effect_screen,early_lpp_faster_rise_advantage_ms_passive_minus_active,estimated_duration_s_active_minus_passive,23,-0.037253188336549066,0.8659894775745658,-0.11363636363636365,0.6056681466311387,0.9571462646876779,False
neural_behavior_effect_screen,early_lpp_faster_rise_advantage_ms_passive_minus_active,recognition_accuracy_active_minus_passive,23,0.21270526628318082,0.3298465585429894,0.2310630307877954,0.288789061726351,0.9571462646876779,False
neural_behavior_effect_screen,early_lpp_faster_rise_advantage_ms_passive_minus_active,variability_sd_s_active_minus_passive,22,0.05175414570998528,0.8190775613916729,-0.009599096555618296,0.9661826982649288,0.9571462646876779,False
neural_behavior_effect_screen,early_lpp_faster_rise_advantage_ms_passive_minus_active,recognition_rt_s_active_minus_passive,23,-0.05874036079787508,0.7900631514408273,-0.10177865612648221,0.644012399414326,0.9571462646876779,False
neural_behavior_effect_screen,early_lpp_faster_rise_advantage_ms_passive_minus_active,estimation_ratio_active_minus_constant,22,0.12659219682700246,0.5745405030791982,0.05702992659514399,0.8009755903446721,0.9571462646876779,False
neural_behavior_effect_screen,early_lpp_faster_rise_advantage_ms_passive_minus_active,estimation_ratio_passive_minus_constant,22,0.2252451113820818,0.3135255764301402,0.14963297571993225,0.5062867949707297,0.9571462646876779,False
