condition,cluster,window,n,mean_amp_uv
active,occipital,P1,157,1.481
passive,occipital,P1,154,0.4894
constant,occipital,P1,11,0.4348
active,occipital,N1,157,5.4689
passive,occipital,N1,154,4.5712
constant,occipital,N1,11,-0.1392
active,occipital,P2,157,6.7888
passive,occipital,P2,154,6.1342
constant,occipital,P2,11,3.0806
active,occipital,P3,157,5.5457
passive,occipital,P3,154,4.3392
constant,occipital,P3,11,3.5653
active,occipital,Late,157,1.5575
passive,occipital,Late,154,1.6165
constant,occipital,Late,11,-1.2391
active,posterior,P1,157,1.6035
passive,posterior,P1,154,0.5283
constant,posterior,P1,11,0.1108
active,posterior,N1,157,4.5169
passive,posterior,N1,154,3.79
constant,posterior,N1,11,-0.4234
active,posterior,P2,157,5.5285
passive,posterior,P2,154,5.0492
constant,posterior,P2,11,2.6528
active,posterior,P3,157,5.1469
passive,posterior,P3,154,4.144
constant,posterior,P3,11,3.8925
active,posterior,Late,157,2.0814
passive,posterior,Late,154,2.1743
constant,posterior,Late,11,0.1219
active,parietal,P1,157,-0.323
passive,parietal,P1,154,-1.4214
constant,parietal,P1,11,-0.8761
active,parietal,N1,157,0.3945
passive,parietal,N1,154,-0.5194
constant,parietal,N1,11,-2.2331
active,parietal,P2,157,-1.0293
passive,parietal,P2,154,-1.3762
constant,parietal,P2,11,-0.692
active,parietal,P3,157,0.0585
passive,parietal,P3,154,-0.4739
constant,parietal,P3,11,0.4148
active,parietal,Late,157,0.1055
passive,parietal,Late,154,0.2133
constant,parietal,Late,11,0.1457
active,frontal,P1,157,-2.8658
passive,frontal,P1,154,-2.5393
constant,frontal,P1,11,-2.7434
active,frontal,N1,157,-5.3699
passive,frontal,N1,154,-5.7351
constant,frontal,N1,11,-5.4478
active,frontal,P2,157,-8.3995
passive,frontal,P2,154,-8.6931
constant,frontal,P2,11,-6.1359
active,frontal,P3,157,-7.5604
passive,frontal,P3,154,-7.474
constant,frontal,P3,11,-6.1506
active,frontal,Late,157,-2.3647
passive,frontal,Late,154,-1.8371
constant,frontal,Late,11,-0.4838
