condition,cluster,window,n,mean_amp_uv
active,occipital,P1,131,0.0365
passive,occipital,P1,142,0.351
constant,occipital,P1,8,-1.2242
active,occipital,N1,131,3.2324
passive,occipital,N1,142,2.4911
constant,occipital,N1,8,1.8829
active,occipital,P2,131,5.8709
passive,occipital,P2,142,5.8712
constant,occipital,P2,8,4.7394
active,occipital,P3,131,2.2267
passive,occipital,P3,142,1.6813
constant,occipital,P3,8,-1.5493
active,occipital,Late,131,-0.2816
passive,occipital,Late,142,-0.615
constant,occipital,Late,8,-4.9521
active,posterior,P1,131,0.8345
passive,posterior,P1,142,0.8394
constant,posterior,P1,8,-0.0332
active,posterior,N1,131,2.7481
passive,posterior,N1,142,1.9859
constant,posterior,N1,8,2.1723
active,posterior,P2,131,4.3092
passive,posterior,P2,142,4.3614
constant,posterior,P2,8,3.7111
active,posterior,P3,131,1.7665
passive,posterior,P3,142,1.2092
constant,posterior,P3,8,-1.1684
active,posterior,Late,131,-0.0821
passive,posterior,Late,142,-0.4979
constant,posterior,Late,8,-4.294
active,parietal,P1,131,-0.3844
passive,parietal,P1,142,-0.4585
constant,parietal,P1,8,-0.0968
active,parietal,N1,131,0.7375
passive,parietal,N1,142,0.1811
constant,parietal,N1,8,1.9822
active,parietal,P2,131,-1.0642
passive,parietal,P2,142,-0.6512
constant,parietal,P2,8,0.1994
active,parietal,P3,131,-1.9014
passive,parietal,P3,142,-2.2391
constant,parietal,P3,8,-3.4288
active,parietal,Late,131,-2.2219
passive,parietal,Late,142,-1.948
constant,parietal,Late,8,-3.902
active,frontal,P1,131,-1.9436
passive,frontal,P1,142,-1.8184
constant,frontal,P1,8,-1.2696
active,frontal,N1,131,-1.6292
passive,frontal,N1,142,-1.8225
constant,frontal,N1,8,0.7967
active,frontal,P2,131,-5.5601
passive,frontal,P2,142,-5.2589
constant,frontal,P2,8,-3.2746
active,frontal,P3,131,-3.707
passive,frontal,P3,142,-4.0923
constant,frontal,P3,8,-5.8576
active,frontal,Late,131,-2.8627
passive,frontal,Late,142,-2.2732
constant,frontal,Late,8,-7.0574
