sub,condition,repetition,window,amplitude_uV,n_epochs
018,active,1,P3,8.260700347474014,36
018,active,2,N1,5.248697155832887,35
018,active,2,P2,10.556937289064432,35
018,active,2,P3,8.082061703569948,35
018,active,3,N1,4.61130741171602,28
018,active,3,P2,10.828163040167835,28
018,active,3,P3,9.166002801193944,28
018,active,4,N1,5.146995354963653,28
018,active,4,P2,10.833000115880193,28
018,active,4,P3,9.589793334407295,28
018,passive,1,N1,3.5463556888274357,35
018,passive,1,P2,8.125614886469586,35
018,passive,1,P3,4.990428341660388,35
018,passive,2,N1,3.2019654014320498,34
018,passive,2,P2,8.436358237068433,34
018,passive,2,P3,6.961047204140162,34
018,passive,3,N1,3.969369150098396,34
018,passive,3,P2,10.120656279509953,34
018,passive,3,P3,9.053608302782365,34
018,passive,4,N1,4.459178170063334,33
018,passive,4,P2,9.402160272595959,33
018,passive,4,P3,7.518073568515388,33
019,active,1,N1,2.6271224622117146,38
019,active,1,P2,6.876400456995342,38
019,active,1,P3,2.647900088311832,38
019,active,2,N1,-0.033993578236718405,37
019,active,2,P2,5.571671768320091,37
019,active,2,P3,1.7120845466957288,37
019,active,3,N1,3.2071139703254934,38
019,active,3,P2,6.292008906019807,38
019,active,3,P3,1.8142520520450687,38
019,active,4,N1,-0.6740452739138342,36
019,active,4,P2,4.621599611262955,36
019,active,4,P3,-1.157360320955081,36
019,passive,1,N1,0.47335268504520867,39
019,passive,1,P2,6.437653053715288,39
019,passive,1,P3,1.5260066969494528,39
019,passive,2,N1,-1.3856856198676382,39
019,passive,2,P2,5.5997562744082545,39
019,passive,2,P3,-0.9963503940594942,39
019,passive,3,N1,3.1434981091410856,38
019,passive,3,P2,6.954446246561378,38
019,passive,3,P3,1.6724176196902925,38
019,passive,4,N1,1.7006037662714282,37
019,passive,4,P2,7.2101265863158925,37
019,passive,4,P3,2.0631198142373863,37
020,active,1,N1,12.676267404804413,39
020,active,1,P2,11.723664784324956,39
020,active,1,P3,6.391637072769073,39
020,active,2,N1,15.234748534102263,39
020,active,2,P2,12.906401601519196,39
020,active,2,P3,10.523877390124593,39
020,active,3,N1,16.976855879205647,39
020,active,3,P2,15.269813128464424,39
020,active,3,P3,12.908899395854545,39
020,active,4,N1,18.045982714213753,39
020,active,4,P2,15.053634531165963,39
020,active,4,P3,14.54559352432233,39
020,passive,1,N1,10.153716896727957,39
020,passive,1,P2,9.72879785129168,39
020,passive,1,P3,7.190597621660079,39
020,passive,2,N1,12.098058185282236,39
020,passive,2,P2,10.375907778949474,39
020,passive,2,P3,8.044259545993153,39
020,passive,3,N1,10.595667236655682,39
020,passive,3,P2,10.688949167849271,39
020,passive,3,P3,10.94799871854675,39
020,passive,4,N1,12.941512390192246,39
020,passive,4,P2,11.74226945327087,39
020,passive,4,P3,9.53404563188428,39
021,active,1,N1,4.609498218865558,38
