sub,condition,window,cluster,amplitude_uV
005,active,P3,frontal,-13.258
005,active,Late,occipital,3.7
005,active,Late,posterior,4.643
005,active,Late,parietal,-0.473
005,active,Late,frontal,-5.295
005,passive,P1,occipital,1.541
005,passive,P1,posterior,1.099
005,passive,P1,parietal,-3.384
005,passive,P1,frontal,-4.309
005,passive,N1,occipital,8.477
005,passive,N1,posterior,8.214
005,passive,N1,parietal,-0.459
005,passive,N1,frontal,-8.929
005,passive,P2,occipital,10.798
005,passive,P2,posterior,10.44
005,passive,P2,parietal,-3.475
005,passive,P2,frontal,-15.461
005,passive,P3,occipital,6.445
005,passive,P3,posterior,7.959
005,passive,P3,parietal,-3.064
005,passive,P3,frontal,-13.699
005,passive,Late,occipital,3.133
005,passive,Late,posterior,4.592
005,passive,Late,parietal,-1.752
005,passive,Late,frontal,-6.652
006,active,P1,occipital,0.036
006,active,P1,posterior,0.835
006,active,P1,parietal,-0.384
006,active,P1,frontal,-1.944
006,active,N1,occipital,3.232
006,active,N1,posterior,2.748
006,active,N1,parietal,0.737
006,active,N1,frontal,-1.629
006,active,P2,occipital,5.871
006,active,P2,posterior,4.309
006,active,P2,parietal,-1.064
006,active,P2,frontal,-5.56
006,active,P3,occipital,2.227
006,active,P3,posterior,1.766
006,active,P3,parietal,-1.901
006,active,P3,frontal,-3.707
006,active,Late,occipital,-0.282
006,active,Late,posterior,-0.082
006,active,Late,parietal,-2.222
006,active,Late,frontal,-2.863
006,passive,P1,occipital,0.351
006,passive,P1,posterior,0.839
006,passive,P1,parietal,-0.458
006,passive,P1,frontal,-1.818
006,passive,N1,occipital,2.491
006,passive,N1,posterior,1.986
006,passive,N1,parietal,0.181
006,passive,N1,frontal,-1.823
006,passive,P2,occipital,5.871
006,passive,P2,posterior,4.361
006,passive,P2,parietal,-0.651
006,passive,P2,frontal,-5.259
006,passive,P3,occipital,1.681
006,passive,P3,posterior,1.209
006,passive,P3,parietal,-2.239
006,passive,P3,frontal,-4.092
006,passive,Late,occipital,-0.615
006,passive,Late,posterior,-0.498
006,passive,Late,parietal,-1.948
006,passive,Late,frontal,-2.273
007,active,P1,occipital,1.481
007,active,P1,posterior,1.603
007,active,P1,parietal,-0.323
007,active,P1,frontal,-2.866
007,active,N1,occipital,5.469
007,active,N1,posterior,4.517
007,active,N1,parietal,0.395
007,active,N1,frontal,-5.37
007,active,P2,occipital,6.789
007,active,P2,posterior,5.529
007,active,P2,parietal,-1.029
007,active,P2,frontal,-8.4
007,active,P3,occipital,5.546
007,active,P3,posterior,5.147
007,active,P3,parietal,0.059
007,active,P3,frontal,-7.56
007,active,Late,occipital,1.558
007,active,Late,posterior,2.081
007,active,Late,parietal,0.105
007,active,Late,frontal,-2.365
007,passive,P1,occipital,0.489
007,passive,P1,posterior,0.528
007,passive,P1,parietal,-1.421
007,passive,P1,frontal,-2.539
007,passive,N1,occipital,4.571
007,passive,N1,posterior,3.79
007,passive,N1,parietal,-0.519
007,passive,N1,frontal,-5.735
007,passive,P2,occipital,6.134
007,passive,P2,posterior,5.049
007,passive,P2,parietal,-1.376
007,passive,P2,frontal,-8.693
007,passive,P3,occipital,4.339
007,passive,P3,posterior,4.144
007,passive,P3,parietal,-0.474
007,passive,P3,frontal,-7.474
007,passive,Late,occipital,1.617
007,passive,Late,posterior,2.174
007,passive,Late,parietal,0.213
007,passive,Late,frontal,-1.837
008,active,P1,occipital,1.514
008,active,P1,posterior,1.825
008,active,P1,parietal,-1.557
008,active,P1,frontal,-5.058
008,active,N1,occipital,8.901
008,active,N1,posterior,6.955
008,active,N1,parietal,1.746
008,active,N1,frontal,-4.315
008,active,P2,occipital,13.489
008,active,P2,posterior,11.169
008,active,P2,parietal,3.381
008,active,P2,frontal,-8.224
008,active,P3,occipital,10.088
008,active,P3,posterior,8.575
008,active,P3,parietal,3.814
008,active,P3,frontal,-4.714
008,active,Late,occipital,9.304
008,active,Late,posterior,8.778
008,active,Late,parietal,6.254
008,active,Late,frontal,-1.351
008,passive,P1,occipital,1.435
008,passive,P1,posterior,1.418
008,passive,P1,parietal,-2.138
008,passive,P1,frontal,-5.164
008,passive,N1,occipital,8.657
008,passive,N1,posterior,6.635
008,passive,N1,parietal,0.604
008,passive,N1,frontal,-5.243
008,passive,P2,occipital,12.195
008,passive,P2,posterior,9.967
008,passive,P2,parietal,1.578
008,passive,P2,frontal,-8.951
008,passive,P3,occipital,9.205
008,passive,P3,posterior,7.86
008,passive,P3,parietal,2.14
008,passive,P3,frontal,-6.973
008,passive,Late,occipital,9.131
008,passive,Late,posterior,9.04
008,passive,Late,parietal,5.384
008,passive,Late,frontal,-4.076
009,active,P1,occipital,5.968
009,active,P1,posterior,3.056
009,active,P1,parietal,-4.613
009,active,P1,frontal,-10.036
009,active,N1,occipital,12.304
009,active,N1,posterior,8.251
009,active,N1,parietal,2.252
009,active,N1,frontal,-5.677
009,active,P2,occipital,8.741
009,active,P2,posterior,6.123
009,active,P2,parietal,-1.771
009,active,P2,frontal,-9.644
009,active,P3,occipital,7.485
