sub,condition,window,cluster,amplitude_uV
025,passive,N1,occipital,9.207
025,passive,N1,posterior,10.889
025,passive,N1,parietal,6.244
025,passive,N1,frontal,-4.817
025,passive,P2,occipital,11.561
025,passive,P2,posterior,13.884
025,passive,P2,parietal,9.055
025,passive,P2,frontal,-5.015
025,passive,P3,occipital,10.452
025,passive,P3,posterior,12.865
025,passive,P3,parietal,8.931
025,passive,P3,frontal,-7.786
025,passive,Late,occipital,5.548
025,passive,Late,posterior,7.302
025,passive,Late,parietal,4.582
025,passive,Late,frontal,-7.644
026,active,P1,occipital,0.615
026,active,P1,posterior,2.087
026,active,P1,parietal,0.2
026,active,P1,frontal,-1.97
026,active,N1,occipital,4.139
026,active,N1,posterior,4.913
026,active,N1,parietal,1.023
026,active,N1,frontal,-4.755
026,active,P2,occipital,8.475
026,active,P2,posterior,8.474
026,active,P2,parietal,-1.262
026,active,P2,frontal,-13.837
026,active,P3,occipital,5.837
026,active,P3,posterior,7.023
026,active,P3,parietal,-0.356
026,active,P3,frontal,-11.53
026,active,Late,occipital,3.29
026,active,Late,posterior,4.645
026,active,Late,parietal,0.402
026,active,Late,frontal,-8.96
026,passive,P1,occipital,1.76
026,passive,P1,posterior,3.094
026,passive,P1,parietal,0.289
026,passive,P1,frontal,-3.935
026,passive,N1,occipital,4.673
026,passive,N1,posterior,5.219
026,passive,N1,parietal,1.02
026,passive,N1,frontal,-5.019
026,passive,P2,occipital,8.221
026,passive,P2,posterior,8.465
026,passive,P2,parietal,-0.999
026,passive,P2,frontal,-13.993
026,passive,P3,occipital,6.047
026,passive,P3,posterior,7.315
026,passive,P3,parietal,0.324
026,passive,P3,frontal,-12.8
026,passive,Late,occipital,3.345
026,passive,Late,posterior,4.49
026,passive,Late,parietal,0.759
026,passive,Late,frontal,-9.513
