condition,cluster,window,n,mean_amp_uv
active,occipital,P1,152,7.524
passive,occipital,P1,143,6.8971
constant,occipital,P1,11,5.5278
active,occipital,N1,152,7.2543
passive,occipital,N1,143,6.2645
constant,occipital,N1,11,4.8626
active,occipital,P2,152,6.4212
passive,occipital,P2,143,6.0591
constant,occipital,P2,11,5.3164
active,occipital,P3,152,5.1622
passive,occipital,P3,143,3.7421
constant,occipital,P3,11,5.2461
active,occipital,Late,152,5.7637
passive,occipital,Late,143,2.6576
constant,occipital,Late,11,6.2663
active,posterior,P1,152,6.2275
passive,posterior,P1,143,5.6006
constant,posterior,P1,11,4.1953
active,posterior,N1,152,6.2093
passive,posterior,N1,143,4.8496
constant,posterior,N1,11,3.5125
active,posterior,P2,152,5.3457
passive,posterior,P2,143,4.6309
constant,posterior,P2,11,3.5194
active,posterior,P3,152,4.5893
passive,posterior,P3,143,2.6762
constant,posterior,P3,11,2.9603
active,posterior,Late,152,5.4024
passive,posterior,Late,143,2.0922
constant,posterior,Late,11,3.5316
active,parietal,P1,152,0.1573
passive,parietal,P1,143,-0.2336
constant,parietal,P1,11,-1.7817
active,parietal,N1,152,-0.558
passive,parietal,N1,143,-2.2167
constant,parietal,N1,11,-2.4311
active,parietal,P2,152,-3.4435
passive,parietal,P2,143,-4.6067
constant,parietal,P2,11,-5.0681
active,parietal,P3,152,-2.1469
passive,parietal,P3,143,-4.7851
constant,parietal,P3,11,-5.6361
active,parietal,Late,152,1.2409
passive,parietal,Late,143,-2.4642
constant,parietal,Late,11,-2.2814
active,frontal,P1,152,-7.7169
passive,frontal,P1,143,-7.0754
constant,frontal,P1,11,-7.5294
active,frontal,N1,152,-9.8519
passive,frontal,N1,143,-10.9049
constant,frontal,N1,11,-8.7868
active,frontal,P2,152,-14.5587
passive,frontal,P2,143,-17.0322
constant,frontal,P2,11,-13.7572
active,frontal,P3,152,-11.7896
passive,frontal,P3,143,-15.94
constant,frontal,P3,11,-14.3825
active,frontal,Late,152,-5.469
passive,frontal,Late,143,-9.9156
constant,frontal,Late,11,-7.4322
