cluster,window,comparison,condition_a,condition_b,n_pairs,mean_a_uv,mean_b_uv,mean_diff_uv,t_stat,p_value,cohens_dz
occipital,lambda,active_vs_passive,active,passive,23,3.711292130434782,3.4365633043478256,0.2747288260869564,3.1877045134379447,0.004253466769833959,0.6646823388066055
occipital,lambda,active_vs_constant,active,constant,23,3.711292130434782,2.8382424782608697,0.873049652173913,5.621769110372139,1.1861046087626524e-05,1.172219892013409
occipital,lambda,passive_vs_constant,passive,constant,23,3.4365633043478256,2.8382424782608697,0.5983208260869567,4.159226998159688,0.00040896553733689385,0.8672587804516332
occipital,P1_frp,active_vs_passive,active,passive,23,1.1440974782608695,1.2341174782608697,-0.09001999999999999,-1.208806391864588,0.2395693182577755,-0.25205355650809125
occipital,P1_frp,active_vs_constant,active,constant,23,1.1440974782608695,1.4452709565217392,-0.30117347826086954,-1.7408548466332256,0.09567858168202367,-0.36299332830414577
occipital,P1_frp,passive_vs_constant,passive,constant,23,1.2341174782608697,1.4452709565217392,-0.21115347826086958,-1.4383488079150357,0.16440985824417423,-0.2999164588920956
occipital,N1_frp,active_vs_passive,active,passive,23,-0.36820708695652177,-0.41467982608695647,0.0464727391304348,0.5251135798048723,0.6047565454517277,0.10949375040642592
occipital,N1_frp,active_vs_constant,active,constant,23,-0.36820708695652177,0.5874323043478261,-0.9556393913043478,-6.801332762854901,7.815953784074428e-07,-1.4181759158538754
occipital,N1_frp,passive_vs_constant,passive,constant,23,-0.41467982608695647,0.5874323043478261,-1.0021121304347826,-8.464491194192528,2.2841540897504434e-08,-1.7649684216483241
occipital,P2_frp,active_vs_passive,active,passive,23,-0.6796380434782607,-0.45628939130434787,-0.22334865217391303,-2.0279156102456324,0.05484935574006125,-0.4228496352275632
occipital,P2_frp,active_vs_constant,active,constant,23,-0.6796380434782607,0.27697769565217395,-0.9566157391304347,-6.397502690720761,1.946688888812497e-06,-1.3339715249841988
occipital,P2_frp,passive_vs_constant,passive,constant,23,-0.45628939130434787,0.27697769565217395,-0.7332670869565218,-5.959039456470475,5.362103195778079e-06,-1.2425456206089305
occipital,Late_frp,active_vs_passive,active,passive,23,-1.160723956521739,-1.1313208695652173,-0.02940308695652174,-0.22228239343024492,0.8261446481447682,-0.04634908302131169
occipital,Late_frp,active_vs_constant,active,constant,23,-1.160723956521739,-0.3229543913043479,-0.8377695652173912,-5.341119645392795,2.3158583802420405e-05,-1.1137004332678093
occipital,Late_frp,passive_vs_constant,passive,constant,23,-1.1313208695652173,-0.3229543913043479,-0.8083664782608697,-5.1949245725575555,3.29036615679271e-05,-1.083216653317538
posterior,lambda,active_vs_passive,active,passive,23,1.937757739130435,1.7534769999999997,0.1842807391304348,2.086699138747623,0.04871695652930323,0.4351068482293632
posterior,lambda,active_vs_constant,active,constant,23,1.937757739130435,1.4662729130434784,0.4714848260869565,3.550294628371185,0.001793773377566594,0.7402876041647977
posterior,lambda,passive_vs_constant,passive,constant,23,1.7534769999999997,1.4662729130434784,0.2872040869565218,2.7087940572244196,0.012822897040356895,0.5648226056434361
posterior,P1_frp,active_vs_passive,active,passive,23,1.0848088695652174,1.083587695652174,0.001221173913043511,0.017350041507205156,0.9863137543227596,0.003617733738740809
posterior,P1_frp,active_vs_constant,active,constant,23,1.0848088695652174,1.1985462173913046,-0.11373734782608692,-0.74646362820522,0.46329034021545634,-0.15564842605012955
posterior,P1_frp,passive_vs_constant,passive,constant,23,1.083587695652174,1.1985462173913046,-0.11495852173913047,-0.903216449290014,0.37619493308337015,-0.1883336486904188
posterior,N1_frp,active_vs_passive,active,passive,23,0.4552380869565216,0.3791934347826087,0.07604465217391303,0.9126369413129095,0.37132679125912893,0.19029795706470223
posterior,N1_frp,active_vs_constant,active,constant,23,0.4552380869565216,1.042785347826087,-0.5875472608695651,-4.164690708268077,0.0004035447626237169,-0.8683980427634617
posterior,N1_frp,passive_vs_constant,passive,constant,23,0.3791934347826087,1.042785347826087,-0.6635919130434782,-5.850037334879254,6.921494016311471e-06,-1.2198171070943586
posterior,P2_frp,active_vs_passive,active,passive,23,-0.6389084347826087,-0.48130095652173926,-0.1576074782608696,-1.4266460760492083,0.16772047156402276,-0.2974762706142256
posterior,P2_frp,active_vs_constant,active,constant,23,-0.6389084347826087,0.1640319565217391,-0.8029403913043478,-4.433060581288037,0.00020946730131998477,-0.9243570295867902
posterior,P2_frp,passive_vs_constant,passive,constant,23,-0.48130095652173926,0.1640319565217391,-0.6453329130434783,-5.061777395589107,4.536986272174892e-05,-1.0554535477286087
posterior,Late_frp,active_vs_passive,active,passive,23,-0.830081695652174,-0.8665699999999998,0.03648830434782609,0.2776892055304269,0.7838438002909691,0.05790220198115157
posterior,Late_frp,active_vs_constant,active,constant,23,-0.830081695652174,-0.2280734782608696,-0.6020082173913043,-3.3911733816531777,0.0026260371413563007,-0.7071085306413611
posterior,Late_frp,passive_vs_constant,passive,constant,23,-0.8665699999999998,-0.2280734782608696,-0.6384965217391305,-4.410277759323564,0.0002214574578036869,-0.9196064828143014
parietal,lambda,active_vs_passive,active,passive,23,-0.5813585217391303,-0.5146228695652175,-0.06673565217391306,-0.8813124592320877,0.38767608129686154,-0.18376635103797834
parietal,lambda,active_vs_constant,active,constant,23,-0.5813585217391303,-0.4896173913043478,-0.09174113043478259,-0.8206487909464474,0.420649993391217,-0.1711171017908453
parietal,lambda,passive_vs_constant,passive,constant,23,-0.5146228695652175,-0.4896173913043478,-0.025005478260869546,-0.2619646897347984,0.795785840014059,-0.054623413783694875
parietal,P1_frp,active_vs_passive,active,passive,23,-0.21738013043478255,-0.27867078260869566,0.06129065217391304,0.7049058895053552,0.48826514205329213,0.1469830385155902
parietal,P1_frp,active_vs_constant,active,constant,23,-0.21738013043478255,-0.2532421739130435,0.03586204347826085,0.3190724153584083,0.7526813993777066,0.0665311977302341
parietal,P1_frp,passive_vs_constant,passive,constant,23,-0.27867078260869566,-0.2532421739130435,-0.025428608695652194,-0.23665427299520228,0.8151146102193702,-0.04934582706769762
parietal,N1_frp,active_vs_passive,active,passive,23,1.226407913043478,1.2253690000000002,0.0010389130434782295,0.009519726577848626,0.9924902719651135,0.0019850002093636677
parietal,N1_frp,active_vs_constant,active,constant,23,1.226407913043478,1.237926086956522,-0.011518173913043477,-0.08614305848430143,0.9321319003381935,-0.017962069364938438
parietal,N1_frp,passive_vs_constant,passive,constant,23,1.2253690000000002,1.237926086956522,-0.012557086956521734,-0.11726361040226925,0.907715132999613,-0.02445115301324627
