cluster,window,comparison,condition_a,condition_b,n_pairs,mean_a_uv,mean_b_uv,mean_diff_uv,t_stat,p_value,cohens_dz
parietal,P2_frp,active_vs_passive,active,passive,23,-0.48715160869565216,-0.4239806956521738,-0.06317091304347829,-0.5948706960206225,0.5579993839942641,-0.12403911462046435
parietal,P2_frp,active_vs_constant,active,constant,23,-0.48715160869565216,-0.23275447826086956,-0.2543971304347826,-1.687181876489415,0.10569785366013405,-0.3518017403839062
parietal,P2_frp,passive_vs_constant,passive,constant,23,-0.4239806956521738,-0.23275447826086956,-0.1912262173913043,-1.5980615364656245,0.12429402811013217,-0.3332188649032783
parietal,Late_frp,active_vs_passive,active,passive,23,0.12474882608695652,0.08437730434782612,0.040371521739130445,0.3172274173213605,0.7540620270309901,0.06614648904560262
parietal,Late_frp,active_vs_constant,active,constant,23,0.12474882608695652,-0.07912882608695654,0.20387765217391304,1.2804177703982682,0.2137341154274286,0.266985561142861
parietal,Late_frp,passive_vs_constant,passive,constant,23,0.08437730434782612,-0.07912882608695654,0.16350613043478263,1.0917669893527298,0.28674809745521884,0.227649154071741
frontal,lambda,active_vs_passive,active,passive,23,-2.5332619565217396,-2.322898826086957,-0.21036313043478264,-2.197393911372611,0.03881602017931778,-0.45818830388244364
frontal,lambda,active_vs_constant,active,constant,23,-2.5332619565217396,-1.9498658260869561,-0.5833961304347828,-3.6419606551997306,0.001438295134916531,-0.7594012920378919
frontal,lambda,passive_vs_constant,passive,constant,23,-2.322898826086957,-1.9498658260869561,-0.37303300000000006,-2.7632277174009863,0.011342365907558629,-0.5761728084001347
frontal,P1_frp,active_vs_passive,active,passive,23,-1.4661851304347824,-1.6490259999999999,0.18284086956521742,1.5134611718685858,0.14439718612597724,0.3155784694503119
frontal,P1_frp,active_vs_constant,active,constant,23,-1.4661851304347824,-1.5637129565217391,0.09752782608695654,0.615975709990809,0.5442316483824026,0.12843981424212417
frontal,P1_frp,passive_vs_constant,passive,constant,23,-1.6490259999999999,-1.5637129565217391,-0.08531304347826085,-0.5713229597483942,0.5735717038978695,-0.11912907218929013
frontal,N1_frp,active_vs_passive,active,passive,23,1.0565647826086957,1.0230601304347826,0.03350465217391307,0.27539898665098134,0.7855798096349864,0.057424658333441535
frontal,N1_frp,active_vs_constant,active,constant,23,1.0565647826086957,0.40400208695652173,0.652562695652174,4.421990316976703,0.00021520988556341232,0.9220487199104553
frontal,N1_frp,passive_vs_constant,passive,constant,23,1.0230601304347826,0.40400208695652173,0.619058043478261,5.811052651179532,7.585516037168922e-06,1.2116882386155108
frontal,P2_frp,active_vs_passive,active,passive,23,0.00988382608695653,-0.1895764347826087,0.19946026086956523,1.594716802497049,0.12504211273440133,0.33252143965964404
frontal,P2_frp,active_vs_constant,active,constant,23,0.00988382608695653,-0.5357941304347826,0.5456779565217392,4.0773964202122635,0.0004993947726754624,0.8501959254389744
frontal,P2_frp,passive_vs_constant,passive,constant,23,-0.1895764347826087,-0.5357941304347826,0.3462176956521739,2.805059296039271,0.010316330839110861,0.5848952955089792
frontal,Late_frp,active_vs_passive,active,passive,23,1.470806739130435,1.246099304347826,0.22470743478260866,1.5091829551250902,0.14548093495117076,0.3146863995928326
frontal,Late_frp,active_vs_constant,active,constant,23,1.470806739130435,0.33423513043478265,1.136571608695652,5.7699160381239905,8.356832584127136e-06,1.2031106618479421
frontal,Late_frp,passive_vs_constant,passive,constant,23,1.246099304347826,0.33423513043478265,0.9118641739130434,6.026523209272354,4.581231703946868e-06,1.2566169557827866
