subject,condition,cluster,window,n,mean_amp_uv
003,passive,posterior,N1_frp,576,0.225956
003,passive,posterior,P2_frp,576,-0.514702
003,passive,posterior,Late_frp,576,-0.109056
003,passive,parietal,lambda,576,-0.276013
003,passive,parietal,P1_frp,576,-1.017415
003,passive,parietal,N1_frp,576,1.793757
003,passive,parietal,P2_frp,576,-0.467579
003,passive,parietal,Late_frp,576,0.948962
003,passive,frontal,lambda,576,-2.686644
003,passive,frontal,P1_frp,576,-3.663192
003,passive,frontal,N1_frp,576,0.928477
003,passive,frontal,P2_frp,576,-1.193842
003,passive,frontal,Late_frp,576,0.039275
003,constant,occipital,lambda,995,3.466452
003,constant,occipital,P1_frp,995,1.863718
003,constant,occipital,N1_frp,995,-1.160015
003,constant,occipital,P2_frp,995,-0.773794
003,constant,occipital,Late_frp,995,-0.99447
003,constant,posterior,lambda,995,1.445441
003,constant,posterior,P1_frp,995,0.653101
003,constant,posterior,N1_frp,995,0.378966
003,constant,posterior,P2_frp,995,-0.481585
003,constant,posterior,Late_frp,995,-0.1741
003,constant,parietal,lambda,995,-1.088408
003,constant,parietal,P1_frp,995,-2.207715
003,constant,parietal,N1_frp,995,1.223685
003,constant,parietal,P2_frp,995,-1.239329
003,constant,parietal,Late_frp,995,-0.361644
003,constant,frontal,lambda,995,-2.436124
003,constant,frontal,P1_frp,995,-3.618801
003,constant,frontal,N1_frp,995,1.190409
003,constant,frontal,P2_frp,995,-0.895143
003,constant,frontal,Late_frp,995,0.153338
004,active,occipital,lambda,3345,4.077802
004,active,occipital,P1_frp,3345,2.355479
004,active,occipital,N1_frp,3345,-0.462547
004,active,occipital,P2_frp,3345,0.20565
004,active,occipital,Late_frp,3345,-0.237265
004,active,posterior,lambda,3345,1.923886
004,active,posterior,P1_frp,3345,2.006199
004,active,posterior,N1_frp,3345,-0.171747
004,active,posterior,P2_frp,3345,0.122581
004,active,posterior,Late_frp,3345,-0.32259
004,active,parietal,lambda,3345,-0.148164
004,active,parietal,P1_frp,3345,0.30108
004,active,parietal,N1_frp,3345,0.468274
004,active,parietal,P2_frp,3345,-0.149092
004,active,parietal,Late_frp,3345,-0.166608
004,active,frontal,lambda,3345,-1.228793
004,active,frontal,P1_frp,3345,-1.005134
004,active,frontal,N1_frp,3345,0.773846
004,active,frontal,P2_frp,3345,-0.300502
004,active,frontal,Late_frp,3345,0.28581
004,passive,occipital,lambda,2646,3.806572
004,passive,occipital,P1_frp,2646,2.378797
004,passive,occipital,N1_frp,2646,-0.348522
004,passive,occipital,P2_frp,2646,0.392613
004,passive,occipital,Late_frp,2646,-0.18863
004,passive,posterior,lambda,2646,1.798837
004,passive,posterior,P1_frp,2646,2.01638
004,passive,posterior,N1_frp,2646,-0.119002
004,passive,posterior,P2_frp,2646,0.348436
004,passive,posterior,Late_frp,2646,-0.258888
004,passive,parietal,lambda,2646,-0.160001
004,passive,parietal,P1_frp,2646,0.308465
004,passive,parietal,N1_frp,2646,0.44906
004,passive,parietal,P2_frp,2646,0.051238
004,passive,parietal,Late_frp,2646,-0.051136
004,passive,frontal,lambda,2646,-1.116517
004,passive,frontal,P1_frp,2646,-0.98809
004,passive,frontal,N1_frp,2646,0.679305
004,passive,frontal,P2_frp,2646,-0.21751
004,passive,frontal,Late_frp,2646,0.410758
004,constant,occipital,lambda,2015,3.333204
004,constant,occipital,P1_frp,2015,2.420406
004,constant,occipital,N1_frp,2015,0.739391
004,constant,occipital,P2_frp,2015,0.945627
004,constant,occipital,Late_frp,2015,0.1414
004,constant,posterior,lambda,2015,1.6003
004,constant,posterior,P1_frp,2015,1.946947
004,constant,posterior,N1_frp,2015,0.658538
004,constant,posterior,P2_frp,2015,0.857911
004,constant,posterior,Late_frp,2015,0.064633
004,constant,parietal,lambda,2015,-0.173991
004,constant,parietal,P1_frp,2015,0.193204
004,constant,parietal,N1_frp,2015,0.358054
004,constant,parietal,P2_frp,2015,0.227029
004,constant,parietal,Late_frp,2015,0.003142
004,constant,frontal,lambda,2015,-1.04957
004,constant,frontal,P1_frp,2015,-1.061689
004,constant,frontal,N1_frp,2015,-0.141286
004,constant,frontal,P2_frp,2015,-0.448529
004,constant,frontal,Late_frp,2015,0.06751
005,active,occipital,lambda,1014,4.718286
005,active,occipital,P1_frp,1014,2.452958
005,active,occipital,N1_frp,1014,-1.032452
005,active,occipital,P2_frp,1014,-0.950141
005,active,occipital,Late_frp,1014,-2.115577
005,active,posterior,lambda,1014,1.648055
005,active,posterior,P1_frp,1014,1.852749
005,active,posterior,N1_frp,1014,0.277667
005,active,posterior,P2_frp,1014,-1.305326
005,active,posterior,Late_frp,1014,-1.778916
005,active,parietal,lambda,1014,-0.847629
005,active,parietal,P1_frp,1014,-0.144926
005,active,parietal,N1_frp,1014,1.441297
005,active,parietal,P2_frp,1014,-0.826468
005,active,parietal,Late_frp,1014,-0.097226
005,active,frontal,lambda,1014,-1.748961
005,active,frontal,P1_frp,1014,-1.343703
005,active,frontal,N1_frp,1014,1.829822
005,active,frontal,P2_frp,1014,0.142478
005,active,frontal,Late_frp,1014,1.814664
005,passive,occipital,lambda,1132,4.748438
005,passive,occipital,P1_frp,1132,2.606179
005,passive,occipital,N1_frp,1132,-0.631586
005,passive,occipital,P2_frp,1132,-0.333321
005,passive,occipital,Late_frp,1132,-1.561314
005,passive,posterior,lambda,1132,1.727758
005,passive,posterior,P1_frp,1132,1.97019
005,passive,posterior,N1_frp,1132,0.70858
005,passive,posterior,P2_frp,1132,-0.754388
005,passive,posterior,Late_frp,1132,-1.362231
005,passive,parietal,lambda,1132,-0.641578
005,passive,parietal,P1_frp,1132,-0.148554
005,passive,parietal,N1_frp,1132,1.880894
005,passive,parietal,P2_frp,1132,-0.515608
005,passive,parietal,Late_frp,1132,0.091716
005,passive,frontal,lambda,1132,-1.702354
005,passive,frontal,P1_frp,1132,-1.780561
005,passive,frontal,N1_frp,1132,1.714132
005,passive,frontal,P2_frp,1132,0.238629
005,passive,frontal,Late_frp,1132,1.790988
005,constant,occipital,lambda,1169,3.174676
005,constant,occipital,P1_frp,1169,2.000242
005,constant,occipital,N1_frp,1169,0.799455
005,constant,occipital,P2_frp,1169,0.543417
005,constant,occipital,Late_frp,1169,-1.026278
005,constant,posterior,lambda,1169,0.814112
005,constant,posterior,P1_frp,1169,1.421905
005,constant,posterior,N1_frp,1169,1.535995
005,constant,posterior,P2_frp,1169,0.064065
005,constant,posterior,Late_frp,1169,-0.860308
005,constant,parietal,lambda,1169,-1.183918
005,constant,parietal,P1_frp,1169,-0.669183
005,constant,parietal,N1_frp,1169,1.387017
005,constant,parietal,P2_frp,1169,-0.734085
005,constant,parietal,Late_frp,1169,-0.572482
005,constant,frontal,lambda,1169,-1.622814
005,constant,frontal,P1_frp,1169,-1.820047
005,constant,frontal,N1_frp,1169,0.685591
005,constant,frontal,P2_frp,1169,-0.734698
005,constant,frontal,Late_frp,1169,0.619812
006,active,occipital,lambda,423,2.436713
006,active,occipital,P1_frp,423,0.097939
006,active,occipital,N1_frp,423,0.08184
006,active,occipital,P2_frp,423,-0.937589
006,active,occipital,Late_frp,423,-1.506243
006,active,posterior,lambda,423,0.417742
006,active,posterior,P1_frp,423,-0.360624
006,active,posterior,N1_frp,423,0.440464
006,active,posterior,P2_frp,423,-0.892047
006,active,posterior,Late_frp,423,-1.328669
006,active,parietal,lambda,423,-1.60234
006,active,parietal,P1_frp,423,-1.37129
006,active,parietal,N1_frp,423,0.888127
006,active,parietal,P2_frp,423,-0.703932
006,active,parietal,Late_frp,423,-0.426627
006,active,frontal,lambda,423,-1.71311
006,active,frontal,P1_frp,423,-1.291778
006,active,frontal,N1_frp,423,0.823787
006,active,frontal,P2_frp,423,-0.090294
006,active,frontal,Late_frp,423,0.992327
006,passive,occipital,lambda,446,1.890611
006,passive,occipital,P1_frp,446,0.07458
006,passive,occipital,N1_frp,446,-0.409616
006,passive,occipital,P2_frp,446,-1.344885
006,passive,occipital,Late_frp,446,-1.608678
006,passive,posterior,lambda,446,0.362054
006,passive,posterior,P1_frp,446,-0.271342
006,passive,posterior,N1_frp,446,0.076854
006,passive,posterior,P2_frp,446,-1.167426
006,passive,posterior,Late_frp,446,-1.398305
006,passive,parietal,lambda,446,-1.344904
006,passive,parietal,P1_frp,446,-1.329173
006,passive,parietal,N1_frp,446,0.598768
006,passive,parietal,P2_frp,446,-0.943683
006,passive,parietal,Late_frp,446,-0.73899
006,passive,frontal,lambda,446,-1.720921
006,passive,frontal,P1_frp,446,-1.498057
006,passive,frontal,N1_frp,446,0.706406
006,passive,frontal,P2_frp,446,-0.214883
006,passive,frontal,Late_frp,446,0.116608
006,constant,occipital,lambda,491,0.619081
006,constant,occipital,P1_frp,491,-0.465279
006,constant,occipital,N1_frp,491,0.02976
006,constant,occipital,P2_frp,491,-0.783876
006,constant,occipital,Late_frp,491,-1.317296
006,constant,posterior,lambda,491,-0.087137
006,constant,posterior,P1_frp,491,-0.44146
006,constant,posterior,N1_frp,491,0.14293
006,constant,posterior,P2_frp,491,-0.704072
006,constant,posterior,Late_frp,491,-1.146264
006,constant,parietal,lambda,491,-1.033732
006,constant,parietal,P1_frp,491,-0.994161
006,constant,parietal,N1_frp,491,0.097378
006,constant,parietal,P2_frp,491,-0.896698
006,constant,parietal,Late_frp,491,-1.258242
006,constant,frontal,lambda,491,-1.092112
006,constant,frontal,P1_frp,491,-1.183947
006,constant,frontal,N1_frp,491,-0.286632
006,constant,frontal,P2_frp,491,-0.86325
006,constant,frontal,Late_frp,491,-0.968091
007,active,occipital,lambda,879,2.740109
007,active,occipital,P1_frp,879,0.834999
007,active,occipital,N1_frp,879,-0.655556
007,active,occipital,P2_frp,879,-1.39247
007,active,occipital,Late_frp,879,-1.484144
007,active,posterior,lambda,879,1.082383
007,active,posterior,P1_frp,879,0.695531
007,active,posterior,N1_frp,879,0.129355
007,active,posterior,P2_frp,879,-1.374471
007,active,posterior,Late_frp,879,-1.251132
007,active,parietal,lambda,879,-0.883207
007,active,parietal,P1_frp,879,-0.344348
007,active,parietal,N1_frp,879,0.474227
007,active,parietal,P2_frp,879,-1.03943
007,active,parietal,Late_frp,879,-0.385051
007,active,frontal,lambda,879,-3.886211
007,active,frontal,P1_frp,879,-3.176184
007,active,frontal,N1_frp,879,-1.052217
007,active,frontal,P2_frp,879,-0.493883
007,active,frontal,Late_frp,879,1.108751
007,passive,occipital,lambda,671,2.813902
007,passive,occipital,P1_frp,671,0.977464
007,passive,occipital,N1_frp,671,-0.395464
007,passive,occipital,P2_frp,671,-1.125373
007,passive,occipital,Late_frp,671,-1.487877
007,passive,posterior,lambda,671,1.357358
007,passive,posterior,P1_frp,671,0.961242
007,passive,posterior,N1_frp,671,0.480646
007,passive,posterior,P2_frp,671,-0.968618
007,passive,posterior,Late_frp,671,-1.192007
007,passive,parietal,lambda,671,-0.431122
007,passive,parietal,P1_frp,671,0.068856
007,passive,parietal,N1_frp,671,0.936346
007,passive,parietal,P2_frp,671,-0.468026
007,passive,parietal,Late_frp,671,-0.110963
007,passive,frontal,lambda,671,-3.532747
007,passive,frontal,P1_frp,671,-2.828833
007,passive,frontal,N1_frp,671,-0.637782
007,passive,frontal,P2_frp,671,-0.188741
007,passive,frontal,Late_frp,671,1.47307
007,constant,occipital,lambda,894,2.077995
007,constant,occipital,P1_frp,894,0.940329
007,constant,occipital,N1_frp,894,0.255922
007,constant,occipital,P2_frp,894,-0.701356
007,constant,occipital,Late_frp,894,-1.029562
007,constant,posterior,lambda,894,0.934604
007,constant,posterior,P1_frp,894,0.695918
007,constant,posterior,N1_frp,894,0.542359
007,constant,posterior,P2_frp,894,-0.785871
007,constant,posterior,Late_frp,894,-0.961609
007,constant,parietal,lambda,894,-0.779418
007,constant,parietal,P1_frp,894,-0.518255
007,constant,parietal,N1_frp,894,0.159215
007,constant,parietal,P2_frp,894,-0.991837
007,constant,parietal,Late_frp,894,-0.746739
007,constant,frontal,lambda,894,-4.633649
007,constant,frontal,P1_frp,894,-4.416063
007,constant,frontal,N1_frp,894,-2.818986
007,constant,frontal,P2_frp,894,-2.092794
007,constant,frontal,Late_frp,894,-0.678323
008,active,occipital,lambda,342,7.561195
008,active,occipital,P1_frp,342,0.10895
008,active,occipital,N1_frp,342,1.270678
008,active,occipital,P2_frp,342,2.306718
008,active,occipital,Late_frp,342,3.340707
008,active,posterior,lambda,342,5.406488
008,active,posterior,P1_frp,342,0.704276
008,active,posterior,N1_frp,342,2.256179
008,active,posterior,P2_frp,342,2.392706
008,active,posterior,Late_frp,342,3.901471
008,active,parietal,lambda,342,1.852773
008,active,parietal,P1_frp,342,1.688891
008,active,parietal,N1_frp,342,3.92602
008,active,parietal,P2_frp,342,3.201814
008,active,parietal,Late_frp,342,6.09786
008,active,frontal,lambda,342,-1.777397
008,active,frontal,P1_frp,342,1.72604
008,active,frontal,N1_frp,342,2.979597
008,active,frontal,P2_frp,342,1.846257
008,active,frontal,Late_frp,342,4.452959
008,passive,occipital,lambda,383,6.370486
008,passive,occipital,P1_frp,383,0.511373
008,passive,occipital,N1_frp,383,1.896303
008,passive,occipital,P2_frp,383,2.850738
