condition,cluster,window,n,mean_amp_uv
active,occipital,P1,136,3.7253
passive,occipital,P1,144,4.0348
constant,occipital,P1,7,1.5893
active,occipital,N1,136,4.713
passive,occipital,N1,144,4.5621
constant,occipital,N1,7,2.0781
active,occipital,P2,136,3.9767
passive,occipital,P2,144,3.963
constant,occipital,P2,7,1.8843
active,occipital,P3,136,2.2052
passive,occipital,P3,144,2.6228
constant,occipital,P3,7,-1.3163
active,occipital,Late,136,-0.7543
passive,occipital,Late,144,0.7799
constant,occipital,Late,7,-3.4851
active,posterior,P1,136,3.9949
passive,posterior,P1,144,4.4462
constant,posterior,P1,7,2.898
active,posterior,N1,136,4.9142
passive,posterior,N1,144,4.976
constant,posterior,N1,7,2.069
active,posterior,P2,136,3.8461
passive,posterior,P2,144,4.0657
constant,posterior,P2,7,2.5774
active,posterior,P3,136,1.8402
passive,posterior,P3,144,2.4332
constant,posterior,P3,7,-0.8394
active,posterior,Late,136,-1.2375
passive,posterior,Late,144,0.41
constant,posterior,Late,7,-2.5284
active,parietal,P1,136,-1.3495
passive,parietal,P1,144,-0.4258
constant,parietal,P1,7,0.6587
active,parietal,N1,136,1.3605
passive,parietal,N1,144,2.0441
constant,parietal,N1,7,0.006
active,parietal,P2,136,-1.7428
passive,parietal,P2,144,-0.5768
constant,parietal,P2,7,-0.0447
active,parietal,P3,136,-2.9009
passive,parietal,P3,144,-0.9648
constant,parietal,P3,7,-4.3735
active,parietal,Late,136,-4.3728
passive,parietal,Late,144,-1.2424
constant,parietal,Late,7,-4.0338
active,frontal,P1,136,-8.7533
passive,frontal,P1,144,-7.337
constant,frontal,P1,7,-3.7255
active,frontal,N1,136,-5.1834
passive,frontal,N1,144,-4.4105
constant,frontal,N1,7,-3.6279
active,frontal,P2,136,-10.0372
passive,frontal,P2,144,-7.5289
constant,frontal,P2,7,-4.6182
active,frontal,P3,136,-8.1755
passive,frontal,P3,144,-5.1316
constant,frontal,P3,7,-8.3784
active,frontal,Late,136,-5.3581
passive,frontal,Late,144,-1.9336
constant,frontal,Late,7,-4.7929
