condition,cluster,window,n,mean_amp_uv
active,occipital,P1,159,7.2189
passive,occipital,P1,151,7.0405
constant,occipital,P1,12,6.3598
active,occipital,N1,159,10.3705
passive,occipital,N1,151,9.7331
constant,occipital,N1,12,6.3314
active,occipital,P2,159,16.4344
passive,occipital,P2,151,16.5008
constant,occipital,P2,12,12.7925
active,occipital,P3,159,9.838
passive,occipital,P3,151,10.7637
constant,occipital,P3,12,7.9954
active,occipital,Late,159,4.9943
passive,occipital,Late,151,6.7687
constant,occipital,Late,12,3.4176
active,posterior,P1,159,6.0035
passive,posterior,P1,151,5.8943
constant,posterior,P1,12,5.7121
active,posterior,N1,159,7.2911
passive,posterior,N1,151,6.6979
constant,posterior,N1,12,5.5654
active,posterior,P2,159,11.3785
passive,posterior,P2,151,11.3494
constant,posterior,P2,12,9.5222
active,posterior,P3,159,6.6983
passive,posterior,P3,151,7.3129
constant,posterior,P3,12,6.3137
active,posterior,Late,159,3.293
passive,posterior,Late,151,4.9984
constant,posterior,Late,12,3.8999
active,parietal,P1,159,0.637
passive,parietal,P1,151,1.1852
constant,parietal,P1,12,1.6502
active,parietal,N1,159,-0.1339
passive,parietal,N1,151,0.1013
constant,parietal,N1,12,1.7471
active,parietal,P2,159,-3.389
passive,parietal,P2,151,-3.3768
constant,parietal,P2,12,-2.6923
active,parietal,P3,159,-5.5304
passive,parietal,P3,151,-5.5969
constant,parietal,P3,12,-3.5888
active,parietal,Late,159,-4.4845
passive,parietal,Late,151,-2.9708
constant,parietal,Late,12,-0.4158
active,frontal,P1,159,-3.8238
passive,frontal,P1,151,-3.8513
constant,frontal,P1,12,0.7394
active,frontal,N1,159,-7.497
passive,frontal,N1,151,-6.425
constant,frontal,N1,12,1.31
active,frontal,P2,159,-19.0771
passive,frontal,P2,151,-18.5589
constant,frontal,P2,12,-14.0485
active,frontal,P3,159,-17.1743
passive,frontal,P3,151,-18.068
constant,frontal,P3,12,-8.1538
active,frontal,Late,159,-12.407
passive,frontal,Late,151,-11.8719
constant,frontal,Late,12,-2.0084
