metric,session_type,mean,sd,n
estimated_duration_s,active,28.289855072463766,16.269216872818706,23
estimated_duration_s,constant,39.161231884057976,22.86726184299972,23
estimated_duration_s,passive,30.65942028985507,16.96760343464354,23
estimation_ratio,active,0.48110564545262763,0.1966783697973811,23
estimation_ratio,constant,0.6540899412190861,0.25982556951286684,23
estimation_ratio,passive,0.515047050188511,0.20952115000088653,23
accuracy,active,0.9130434782608695,0.08875635156374631,23
accuracy,constant,0.996376811594203,0.017376201171422904,23
accuracy,passive,0.8804347826086957,0.11738439121465188,23
variability_sd_s,active,10.319571451976053,6.953573918982,22
variability_sd_s,constant,13.36876437541345,8.278987001420525,22
variability_sd_s,passive,12.251847391399462,8.676124716560569,22
