condition,cluster,window,n,mean_amp_uv
active,occipital,P1,145,10.1613
passive,occipital,P1,154,7.9036
constant,occipital,P1,11,1.0283
active,occipital,N1,145,33.3235
passive,occipital,N1,154,28.7636
constant,occipital,N1,11,11.1142
active,occipital,P2,145,35.1556
passive,occipital,P2,154,32.0156
constant,occipital,P2,11,20.5116
active,occipital,P3,145,23.4993
passive,occipital,P3,154,20.8961
constant,occipital,P3,11,10.0456
active,occipital,Late,145,15.4507
passive,occipital,Late,154,13.3445
constant,occipital,Late,11,2.7559
active,posterior,P1,145,9.7804
passive,posterior,P1,154,8.1249
constant,posterior,P1,11,3.0897
active,posterior,N1,145,29.6342
passive,posterior,N1,154,25.9125
constant,posterior,N1,11,11.6771
active,posterior,P2,145,32.6299
passive,posterior,P2,154,29.8962
constant,posterior,P2,11,21.3176
active,posterior,P3,145,22.826
passive,posterior,P3,154,20.5967
constant,posterior,P3,11,13.7573
active,posterior,Late,145,14.731
passive,posterior,Late,154,13.5053
constant,posterior,Late,11,7.3426
active,parietal,P1,145,0.0911
passive,parietal,P1,154,0.0233
constant,parietal,P1,11,0.5081
active,parietal,N1,145,6.9472
passive,parietal,N1,154,6.4812
constant,parietal,N1,11,1.6753
active,parietal,P2,145,7.4951
passive,parietal,P2,154,7.0425
constant,parietal,P2,11,6.0613
active,parietal,P3,145,2.4313
passive,parietal,P3,154,2.6256
constant,parietal,P3,11,4.3759
active,parietal,Late,145,0.1635
passive,parietal,Late,154,1.0269
constant,parietal,Late,11,1.9816
active,frontal,P1,145,-6.7412
passive,frontal,P1,154,-5.4678
constant,frontal,P1,11,-0.2914
active,frontal,N1,145,-13.9339
passive,frontal,N1,154,-11.3982
constant,frontal,N1,11,-8.4372
active,frontal,P2,145,-16.1033
passive,frontal,P2,154,-13.9098
constant,frontal,P2,11,-9.2209
active,frontal,P3,145,-16.7926
passive,frontal,P3,154,-13.6125
constant,frontal,P3,11,-4.4541
active,frontal,Late,145,-11.7433
passive,frontal,Late,154,-8.4045
constant,frontal,Late,11,-4.33
