subject,condition,cluster,window,n,mean_amp_uv
017,active,occipital,lambda,681,2.70842
017,active,occipital,P1_frp,681,0.423334
017,active,occipital,N1_frp,681,2.524856
017,active,occipital,P2_frp,681,-3.177216
017,active,occipital,Late_frp,681,-3.831132
017,active,posterior,lambda,681,0.463658
017,active,posterior,P1_frp,681,1.175746
017,active,posterior,N1_frp,681,2.811195
017,active,posterior,P2_frp,681,-2.904444
017,active,posterior,Late_frp,681,-3.480494
017,active,parietal,lambda,681,-2.168086
017,active,parietal,P1_frp,681,0.340814
017,active,parietal,N1_frp,681,1.759235
017,active,parietal,P2_frp,681,-1.575288
017,active,parietal,Late_frp,681,-1.09431
017,active,frontal,lambda,681,-2.794605
017,active,frontal,P1_frp,681,-0.270151
017,active,frontal,N1_frp,681,-0.004076
017,active,frontal,P2_frp,681,0.741414
017,active,frontal,Late_frp,681,2.288594
017,passive,occipital,lambda,749,2.421533
017,passive,occipital,P1_frp,749,0.084002
017,passive,occipital,N1_frp,749,2.578376
017,passive,occipital,P2_frp,749,-2.961848
017,passive,occipital,Late_frp,749,-3.844453
017,passive,posterior,lambda,749,0.326069
017,passive,posterior,P1_frp,749,0.917752
017,passive,posterior,N1_frp,749,2.939855
017,passive,posterior,P2_frp,749,-2.615698
017,passive,posterior,Late_frp,749,-3.43238
017,passive,parietal,lambda,749,-1.865913
017,passive,parietal,P1_frp,749,0.308284
017,passive,parietal,N1_frp,749,2.331636
017,passive,parietal,P2_frp,749,-1.552498
017,passive,parietal,Late_frp,749,-1.190198
017,passive,frontal,lambda,749,-2.134315
017,passive,frontal,P1_frp,749,0.087651
017,passive,frontal,N1_frp,749,0.69417
017,passive,frontal,P2_frp,749,0.083659
017,passive,frontal,Late_frp,749,1.807971
017,constant,occipital,lambda,720,2.741241
017,constant,occipital,P1_frp,720,1.916936
017,constant,occipital,N1_frp,720,4.738345
017,constant,occipital,P2_frp,720,-0.337716
017,constant,occipital,Late_frp,720,-1.175434
017,constant,posterior,lambda,720,0.863777
017,constant,posterior,P1_frp,720,2.387004
017,constant,posterior,N1_frp,720,4.336014
017,constant,posterior,P2_frp,720,-0.211152
017,constant,posterior,Late_frp,720,-1.287875
017,constant,parietal,lambda,720,-1.578097
017,constant,parietal,P1_frp,720,0.456866
017,constant,parietal,N1_frp,720,2.603552
017,constant,parietal,P2_frp,720,-0.428789
017,constant,parietal,Late_frp,720,-0.610034
017,constant,frontal,lambda,720,-2.2598
017,constant,frontal,P1_frp,720,-1.04817
017,constant,frontal,N1_frp,720,0.08017
017,constant,frontal,P2_frp,720,-0.340637
017,constant,frontal,Late_frp,720,0.799999
