condition,cluster,window,n,mean_amp_uv
active,occipital,P1,158,5.9682
passive,occipital,P1,156,4.6292
constant,occipital,P1,11,2.1261
active,occipital,N1,158,12.3043
passive,occipital,N1,156,9.4755
constant,occipital,N1,11,4.1863
active,occipital,P2,158,8.7415
passive,occipital,P2,156,6.4617
constant,occipital,P2,11,1.2337
active,occipital,P3,158,7.4854
passive,occipital,P3,156,4.7173
constant,occipital,P3,11,1.5837
active,occipital,Late,158,5.0521
passive,occipital,Late,156,0.9574
constant,occipital,Late,11,8.3238
active,posterior,P1,158,3.0562
passive,posterior,P1,156,2.595
constant,posterior,P1,11,1.0777
active,posterior,N1,158,8.2507
passive,posterior,N1,156,6.9544
constant,posterior,N1,11,3.3809
active,posterior,P2,158,6.1231
passive,posterior,P2,156,5.164
constant,posterior,P2,11,-0.2849
active,posterior,P3,158,4.636
passive,posterior,P3,156,3.638
constant,posterior,P3,11,-2.4231
active,posterior,Late,158,2.9068
passive,posterior,Late,156,1.3123
constant,posterior,Late,11,-0.9875
active,parietal,P1,158,-4.6135
passive,parietal,P1,156,-4.1363
constant,parietal,P1,11,-9.6761
active,parietal,N1,158,2.2522
passive,parietal,N1,156,1.4493
constant,parietal,N1,11,-7.7152
active,parietal,P2,158,-1.7712
passive,parietal,P2,156,-1.9458
constant,parietal,P2,11,-16.1377
active,parietal,P3,158,-3.1345
passive,parietal,P3,156,-3.3454
constant,parietal,P3,11,-24.292
active,parietal,Late,158,-0.6644
passive,parietal,Late,156,-1.2429
constant,parietal,Late,11,-29.0109
active,frontal,P1,158,-10.0356
passive,frontal,P1,156,-9.2385
constant,frontal,P1,11,-12.1872
active,frontal,N1,158,-5.6772
passive,frontal,N1,156,-6.1261
constant,frontal,N1,11,-11.7333
active,frontal,P2,158,-9.6439
passive,frontal,P2,156,-9.6332
constant,frontal,P2,11,-21.2163
active,frontal,P3,158,-10.8977
passive,frontal,P3,156,-11.1049
constant,frontal,P3,11,-30.9655
active,frontal,Late,158,-4.471
passive,frontal,Late,156,-5.3145
constant,frontal,Late,11,-38.345
