condition,cluster,window,n,mean_amp_uv
active,occipital,P1,72,3.6163
passive,occipital,P1,54,3.8109
active,occipital,N1,72,6.0573
passive,occipital,N1,54,5.4185
active,occipital,P2,72,15.3416
passive,occipital,P2,54,14.1905
active,occipital,P3,72,15.0947
passive,occipital,P3,54,13.0564
active,occipital,Late,72,9.8586
passive,occipital,Late,54,10.4413
active,posterior,P1,72,3.2366
passive,posterior,P1,54,3.6738
active,posterior,N1,72,5.6328
passive,posterior,N1,54,5.5559
active,posterior,P2,72,13.5159
passive,posterior,P2,54,12.7547
active,posterior,P3,72,13.7263
passive,posterior,P3,54,11.8377
active,posterior,Late,72,8.7076
passive,posterior,Late,54,9.0081
active,parietal,P1,72,0.9603
passive,parietal,P1,54,1.1605
active,parietal,N1,72,1.8894
passive,parietal,N1,54,2.2735
active,parietal,P2,72,4.2263
passive,parietal,P2,54,4.5711
active,parietal,P3,72,4.7816
passive,parietal,P3,54,4.3021
active,parietal,Late,72,2.5361
passive,parietal,Late,54,3.0072
active,frontal,P1,72,-1.4092
passive,frontal,P1,54,-1.1841
active,frontal,N1,72,-2.0846
passive,frontal,N1,54,-2.2307
active,frontal,P2,72,-7.2652
passive,frontal,P2,54,-5.9014
active,frontal,P3,72,-7.8009
passive,frontal,P3,54,-6.5942
active,frontal,Late,72,-5.2675
passive,frontal,Late,54,-4.6776
