contrast,n,mean_scrolling,mean_watching,mean_diff_uV,t,df,p,dz,window
"N1: Scrolling-Watching, collapsed over rep (N=23)",23,8.396825122525893,7.198332054812365,1.1984930677135253,4.399508084754234,22,0.00022736227999122332,0.9173608504318921,N1
"P2: Scrolling-Watching, collapsed over rep (N=23)",23,10.730202237804365,9.815003743681677,0.9151984941226855,3.9831672506909563,22,0.0006284013545073403,0.8305477853691542,P2
"P3: Scrolling-Watching, collapsed over rep (N=23)",23,7.705675128967354,6.872208420162811,0.833466708804544,3.2762284534255377,22,0.0034511545230079045,0.6831408562831423,P3
