condition,cluster,window,n,mean_amp_uv
active,occipital,P1,62,-3.358
passive,occipital,P1,103,-3.06
constant,occipital,P1,8,-8.8678
active,occipital,N1,62,6.6165
passive,occipital,N1,103,5.3085
constant,occipital,N1,8,-1.3658
active,occipital,P2,62,8.7656
passive,occipital,P2,103,7.0814
constant,occipital,P2,8,0.362
active,occipital,P3,62,6.4171
passive,occipital,P3,103,4.8161
constant,occipital,P3,8,3.003
active,occipital,Late,62,4.3772
passive,occipital,Late,103,3.0107
constant,occipital,Late,8,2.0848
active,posterior,P1,62,-2.9967
passive,posterior,P1,103,-1.7781
constant,posterior,P1,8,-7.4336
active,posterior,N1,62,5.4719
passive,posterior,N1,103,5.0027
constant,posterior,N1,8,-0.6133
active,posterior,P2,62,7.752
passive,posterior,P2,103,6.6737
constant,posterior,P2,8,0.343
active,posterior,P3,62,6.1781
passive,posterior,P3,103,5.1821
constant,posterior,P3,8,4.3026
active,posterior,Late,62,4.0745
passive,posterior,Late,103,3.8823
constant,posterior,Late,8,2.5867
active,parietal,P1,62,-3.9168
passive,parietal,P1,103,-1.5998
constant,parietal,P1,8,-5.8
active,parietal,N1,62,0.7482
passive,parietal,N1,103,1.5881
constant,parietal,N1,8,0.7047
active,parietal,P2,62,0.536
passive,parietal,P2,103,0.3648
constant,parietal,P2,8,-2.2526
active,parietal,P3,62,0.8774
passive,parietal,P3,103,0.2088
constant,parietal,P3,8,4.725
active,parietal,Late,62,1.3217
passive,parietal,Late,103,1.2588
constant,parietal,Late,8,4.3481
active,frontal,P1,62,-3.347
passive,frontal,P1,103,-0.8267
constant,frontal,P1,8,0.0284
active,frontal,N1,62,-6.4677
passive,frontal,N1,103,-3.3201
constant,frontal,N1,8,2.1927
active,frontal,P2,62,-10.3693
passive,frontal,P2,103,-6.0158
constant,frontal,P2,8,-1.3759
active,frontal,P3,62,-9.5259
passive,frontal,P3,103,-5.361
constant,frontal,P3,8,3.8612
active,frontal,Late,62,-7.1902
passive,frontal,Late,103,-1.3196
constant,frontal,Late,8,2.8512
