cluster,window,contrast,condition_a,condition_b,n,mean_diff_uv,sd_diff_uv,t,df,p_value,dz,dz_ci_low,dz_ci_high
occipital,lambda,Scrolling vs Watching,active,passive,23,0.2747288260869564,0.41332349311434147,3.187704513437944,22,0.004253466769833967,0.6646823388066055,0.2056114720917493,1.1114591603933328
occipital,lambda,Scrolling vs Baseline,active,constant,23,0.873049652173913,0.744783174319248,5.621769110372139,22,1.1861046087626524e-05,1.172219892013409,0.6300040055637197,1.6986935197283453
occipital,lambda,Watching vs Baseline,passive,constant,23,0.5983208260869567,0.6898988393929842,4.159226998159687,22,0.00040896553733689385,0.8672587804516332,0.3785709399911987,1.3417053519458582
