condition,cluster,window,n,mean_amp_uv
active,occipital,P1,159,4.0328
passive,occipital,P1,156,2.0499
constant,occipital,P1,12,2.812
active,occipital,N1,159,19.9506
passive,occipital,N1,156,16.3019
constant,occipital,N1,12,12.4974
active,occipital,P2,159,16.5766
passive,occipital,P2,156,13.6256
constant,occipital,P2,12,14.8572
active,occipital,P3,159,12.6143
passive,occipital,P3,156,10.9255
constant,occipital,P3,12,7.0691
active,occipital,Late,159,11.235
passive,occipital,Late,156,8.7496
constant,occipital,Late,12,7.5206
active,posterior,P1,159,2.4751
passive,posterior,P1,156,-0.3938
constant,posterior,P1,12,1.9983
active,posterior,N1,159,13.0407
passive,posterior,N1,156,8.5344
constant,posterior,N1,12,5.5935
active,posterior,P2,159,12.1548
passive,posterior,P2,156,8.839
constant,posterior,P2,12,8.1072
active,posterior,P3,159,10.2829
passive,posterior,P3,156,7.7314
constant,posterior,P3,12,4.8445
active,posterior,Late,159,9.8448
passive,posterior,Late,156,6.7198
constant,posterior,Late,12,7.1025
active,parietal,P1,159,-6.2025
passive,parietal,P1,156,-8.2663
constant,parietal,P1,12,-2.7088
active,parietal,N1,159,-5.506
passive,parietal,N1,156,-7.8282
constant,parietal,N1,12,-3.3537
active,parietal,P2,159,-7.8759
passive,parietal,P2,156,-8.6025
constant,parietal,P2,12,-2.6643
active,parietal,P3,159,-7.8223
passive,parietal,P3,156,-8.1753
constant,parietal,P3,12,-5.4667
active,parietal,Late,159,-1.8272
passive,parietal,Late,156,-3.3765
constant,parietal,Late,12,1.1996
active,frontal,P1,159,-11.325
passive,frontal,P1,156,-11.4276
constant,frontal,P1,12,-7.4755
active,frontal,N1,159,-23.0904
passive,frontal,N1,156,-21.6784
constant,frontal,N1,12,-11.8448
active,frontal,P2,159,-30.2488
passive,frontal,P2,156,-27.305
constant,frontal,P2,12,-16.2991
active,frontal,P3,159,-28.846
passive,frontal,P3,156,-26.1054
constant,frontal,P3,12,-16.7183
active,frontal,Late,159,-18.1102
passive,frontal,Late,156,-15.848
constant,frontal,Late,12,-5.9922
