cluster,window,comparison,condition_a,condition_b,n_a,n_b,mean_a_uv,mean_b_uv,mean_diff_uv,t_stat,p_value,cohens_d
occipital,lambda,active_vs_passive,active,passive,1174,1160,4.4456192157552215,3.992389176672364,0.4532300390828574,1.2370424737046968,0.21619588104327536,0.05120531862807347
occipital,lambda,active_vs_constant,active,constant,1174,1539,4.4456192157552215,3.661565982202265,0.7840532335529566,2.3370701588625336,0.019516829842762536,0.09153304239908397
occipital,lambda,passive_vs_constant,passive,constant,1160,1539,3.992389176672364,3.661565982202265,0.3308231944700992,0.9955544957915163,0.3195663045845082,0.039023751212846736
occipital,P1_frp,active_vs_passive,active,passive,1174,1160,0.39304871008806325,0.09099021512946363,0.3020584949585996,0.7748068502229761,0.43853245923195505,0.03208082796373497
occipital,P1_frp,active_vs_constant,active,constant,1174,1539,0.39304871008806325,0.4949741436941811,-0.10192543360611783,-0.2829032924589503,0.7772741656166812,-0.0109628360733627
occipital,P1_frp,passive_vs_constant,passive,constant,1160,1539,0.09099021512946363,0.4949741436941811,-0.40398392856471743,-1.1015862766699536,0.2707492297444964,-0.04298342088432911
occipital,N1_frp,active_vs_passive,active,passive,1174,1160,-0.259040294166506,-0.07972162959594219,-0.17931866457056378,-0.4422470534048094,0.6583514554714683,-0.018308317762563253
occipital,N1_frp,active_vs_constant,active,constant,1174,1539,-0.259040294166506,1.0042205519128002,-1.2632608460793062,-3.400795272572248,0.0006826542368884045,-0.13272280134040396
occipital,N1_frp,passive_vs_constant,passive,constant,1160,1539,-0.07972162959594219,1.0042205519128002,-1.0839421815087424,-2.9102536683899385,0.0036442505621709148,-0.11397826016358553
occipital,P2_frp,active_vs_passive,active,passive,1174,1160,-1.6424317936634514,-1.0075349178848114,-0.63489687577864,-1.4300727102814534,0.15283011424549445,-0.059200018177598616
occipital,P2_frp,active_vs_constant,active,constant,1174,1539,-1.6424317936634514,-0.0025443121396146275,-1.6398874815238367,-4.06532555107587,4.9502528456887565e-05,-0.15929875440033012
occipital,P2_frp,passive_vs_constant,passive,constant,1160,1539,-1.0075349178848114,-0.0025443121396146275,-1.0049906057451967,-2.4960612708967393,0.012624897146176749,-0.09806528436467615
occipital,Late_frp,active_vs_passive,active,passive,1174,1160,-1.832084105823326,-1.1091291385781028,-0.7229549672452231,-1.4935711367557525,0.13542307590502856,-0.06183433465668289
occipital,Late_frp,active_vs_constant,active,constant,1174,1539,-1.832084105823326,-0.3189704797401234,-1.5131136260832025,-3.4506626288864384,0.0005687632582642875,-0.1349961094913338
occipital,Late_frp,passive_vs_constant,passive,constant,1160,1539,-1.1091291385781028,-0.3189704797401234,-0.7901586588379794,-1.7886179535511493,0.07380305966375655,-0.07030417996460189
posterior,lambda,active_vs_passive,active,passive,1174,1160,2.107911440811325,1.5285700443901267,0.5793413964211982,1.6439380293950547,0.10032384618145634,0.06804436686868243
posterior,lambda,active_vs_constant,active,constant,1174,1539,2.107911440811325,1.5867624421267645,0.5211489986845603,1.6155603285723716,0.10632094729372435,0.06337856372142835
posterior,lambda,passive_vs_constant,passive,constant,1160,1539,1.5285700443901267,1.5867624421267645,-0.05819239773663787,-0.18314383821890054,0.8547005487316892,-0.007182066992105153
posterior,P1_frp,active_vs_passive,active,passive,1174,1160,0.6104855923420053,0.07405753346122397,0.5364280588807813,1.4518038614091844,0.14669075909116153,0.06010805978265321
posterior,P1_frp,active_vs_constant,active,constant,1174,1539,0.6104855923420053,0.37786999717338193,0.23261559516862335,0.6853393136986257,0.49319363801875443,0.026653585432482748
posterior,P1_frp,passive_vs_constant,passive,constant,1160,1539,0.07405753346122397,0.37786999717338193,-0.303812463712158,-0.8845053689568653,0.3765106089010489,-0.03459196124446834
posterior,N1_frp,active_vs_passive,active,passive,1174,1160,0.5204610192363633,0.32320871298193,0.19725230625443335,0.5020250425238597,0.6156973252478997,0.020778889252939487
posterior,N1_frp,active_vs_constant,active,constant,1174,1539,0.5204610192363633,0.9818413012308534,-0.4613802819944901,-1.2713997978434914,0.20370840626862108,-0.049756216625892004
posterior,N1_frp,passive_vs_constant,passive,constant,1160,1539,0.32320871298193,0.9818413012308534,-0.6586325882489235,-1.8462916956817186,0.06497072480894887,-0.07218115666310676
posterior,P2_frp,active_vs_passive,active,passive,1174,1160,-1.152067871282499,-0.9477665336732286,-0.20430133760927038,-0.47874393924959135,0.6321656862964588,-0.01981752523871265
posterior,P2_frp,active_vs_constant,active,constant,1174,1539,-1.152067871282499,-0.049554192371593676,-1.1025136789109053,-2.8239851671475127,0.004781822141419453,-0.11052561656462354
posterior,P2_frp,passive_vs_constant,passive,constant,1160,1539,-0.9477665336732286,-0.049554192371593676,-0.898212341301635,-2.3143191316687646,0.020733707332361857,-0.0907262950322934
posterior,Late_frp,active_vs_passive,active,passive,1174,1160,-1.0862443830880633,-0.778201252685346,-0.30804313040271725,-0.6512365694680718,0.5149579608141311,-0.02695670461201274
posterior,Late_frp,active_vs_constant,active,constant,1174,1539,-1.0862443830880633,-0.30110059913462917,-0.7851437839534341,-1.8100162940140698,0.07041726240179544,-0.07086549134478609
posterior,Late_frp,passive_vs_constant,passive,constant,1160,1539,-0.778201252685346,-0.30110059913462917,-0.47710065355071685,-1.1110161317029243,0.2666716743815214,-0.04352775791816229
parietal,lambda,active_vs_passive,active,passive,1174,1160,-0.992867574402495,-1.4540896236967074,0.4612220492942124,1.2179850159020469,0.22335300360829383,0.05041001230752867
parietal,lambda,active_vs_constant,active,constant,1174,1539,-0.992867574402495,-0.9124479631869823,-0.08041961121551267,-0.23141410241674293,0.8170129592849926,-0.009088957023346035
parietal,lambda,passive_vs_constant,passive,constant,1160,1539,-1.4540896236967074,-0.9124479631869823,-0.5416416605097251,-1.5942137944588868,0.1110188713032736,-0.06248691469366515
parietal,P1_frp,active_vs_passive,active,passive,1174,1160,-0.5232152897250723,-1.3047389047583453,0.7815236150332731,1.9580073439627312,0.05034824658311597,0.08105937748339628
parietal,P1_frp,active_vs_constant,active,constant,1174,1539,-0.5232152897250723,-0.748335638030867,0.22512034830579475,0.616351695971474,0.5377196051613601,0.024055020874176266
parietal,P1_frp,passive_vs_constant,passive,constant,1160,1539,-1.3047389047583453,-0.748335638030867,-0.5564032667274783,-1.5173963210967685,0.1292971277328442,-0.059447029513084386
parietal,N1_frp,active_vs_passive,active,passive,1174,1160,1.0797730287684506,0.7530418248839463,0.3267312038845043,0.7650263075449508,0.4443333376040419,0.03166417843780053
parietal,N1_frp,active_vs_constant,active,constant,1174,1539,1.0797730287684506,0.664697869869477,0.4150751588989736,1.058737082887508,0.2898261510574091,0.04153342303340051
parietal,N1_frp,passive_vs_constant,passive,constant,1160,1539,0.7530418248839463,0.664697869869477,0.08834395501446934,0.2295553503560335,0.8184566971498355,0.008994703897351308
parietal,P2_frp,active_vs_passive,active,passive,1174,1160,-0.06993293138880179,-0.35397830642366657,0.28404537503486477,0.6281272362080075,0.5299821105126346,0.02599970355083847
parietal,P2_frp,active_vs_constant,active,constant,1174,1539,-0.06993293138880179,0.0436694474817065,-0.11360237887050828,-0.2717002292917704,0.785875469440651,-0.010613204877212679
parietal,P2_frp,passive_vs_constant,passive,constant,1160,1539,-0.35397830642366657,0.0436694474817065,-0.39764775390537305,-0.9621178223431283,0.33608536055979515,-0.03758916097262744
parietal,Late_frp,active_vs_passive,active,passive,1174,1160,0.6212219420285973,0.585143590917539,0.03607835111105828,0.07071429174527431,0.9436312138100744,0.0029268074741046297
