condition,cluster,window,n,mean_amp_uv
active,occipital,P1,120,6.6872
passive,occipital,P1,71,6.4981
constant,occipital,P1,6,0.1163
active,occipital,N1,120,12.9637
passive,occipital,N1,71,11.2351
constant,occipital,N1,6,7.3319
active,occipital,P2,120,15.4661
passive,occipital,P2,71,15.7299
constant,occipital,P2,6,12.2682
active,occipital,P3,120,11.1236
passive,occipital,P3,71,12.5233
constant,occipital,P3,6,8.5689
active,occipital,Late,120,6.691
passive,occipital,Late,71,7.3123
constant,occipital,Late,6,3.5446
active,posterior,P1,120,6.5129
passive,posterior,P1,71,5.8488
constant,posterior,P1,6,1.1089
active,posterior,N1,120,9.8014
passive,posterior,N1,71,8.1549
constant,posterior,N1,6,6.3707
active,posterior,P2,120,13.9986
passive,posterior,P2,71,13.995
constant,posterior,P2,6,13.083
active,posterior,P3,120,9.8476
passive,posterior,P3,71,11.0995
constant,posterior,P3,6,10.5468
active,posterior,Late,120,5.8782
passive,posterior,Late,71,6.3204
constant,posterior,Late,6,6.3974
active,parietal,P1,120,4.383
passive,parietal,P1,71,3.2218
constant,parietal,P1,6,0.2835
active,parietal,N1,120,5.8082
passive,parietal,N1,71,3.6139
constant,parietal,N1,6,3.4518
active,parietal,P2,120,10.956
passive,parietal,P2,71,10.1787
constant,parietal,P2,6,13.5415
active,parietal,P3,120,6.4462
passive,parietal,P3,71,6.8298
constant,parietal,P3,6,10.3402
active,parietal,Late,120,3.6507
passive,parietal,Late,71,3.2397
constant,parietal,Late,6,6.2956
active,frontal,P1,120,0.5919
passive,frontal,P1,71,-1.2294
constant,frontal,P1,6,0.2842
active,frontal,N1,120,-1.8646
passive,frontal,N1,71,-3.7988
constant,frontal,N1,6,0.0751
active,frontal,P2,120,-1.417
passive,frontal,P2,71,-0.7243
constant,frontal,P2,6,6.3341
active,frontal,P3,120,-3.9034
passive,frontal,P3,71,-4.4897
constant,frontal,P3,6,7.5754
active,frontal,Late,120,-0.6767
passive,frontal,Late,71,-2.6736
constant,frontal,Late,6,4.3065
