cluster,window,comparison,condition_a,condition_b,n_a,n_b,mean_a_uv,mean_b_uv,mean_diff_uv,t_stat,p_value,cohens_d
occipital,lambda,active_vs_passive,active,passive,1241,1539,3.473555609893616,3.3459976990788274,0.1275579108147884,0.5739308616477441,0.5660647031998814,0.02205091679000441
occipital,lambda,active_vs_constant,active,constant,1241,1660,3.473555609893616,3.174091703970603,0.29946390592301286,1.425366495989195,0.15418175384798946,0.054853514022577134
occipital,lambda,passive_vs_constant,passive,constant,1539,1660,3.3459976990788274,3.174091703970603,0.17190599510822446,0.9102063560341952,0.3627846667906257,0.03234323912993609
occipital,P1_frp,active_vs_passive,active,passive,1241,1539,2.2933043958553183,2.2167908759430492,0.07651351991226907,0.34431164743563164,0.7306395669946918,0.01317965368591458
occipital,P1_frp,active_vs_constant,active,constant,1241,1660,2.2933043958553183,2.260140765567839,0.03316363028747915,0.1551520322636649,0.8767138076499343,0.0058967664852443875
occipital,P1_frp,passive_vs_constant,passive,constant,1539,1660,2.2167908759430492,2.260140765567839,-0.04334988962478992,-0.21980415515272453,0.8260379644788648,-0.007794925784346979
occipital,N1_frp,active_vs_passive,active,passive,1241,1539,-0.08593564989140906,-0.3069818123072309,0.2210461624158218,1.008334440605974,0.3133884935282451,0.03872717935164776
occipital,N1_frp,active_vs_constant,active,constant,1241,1660,-0.08593564989140906,0.2985166277157715,-0.38445227760718054,-1.8058270056626982,0.07106459989623913,-0.06872793198735731
occipital,N1_frp,passive_vs_constant,passive,constant,1539,1660,-0.3069818123072309,0.2985166277157715,-0.6054984400230023,-3.1376563285509915,0.0017187352847248337,-0.11117956008643669
occipital,P2_frp,active_vs_passive,active,passive,1241,1539,-0.6100076119177715,-0.6063373803788609,-0.003670231538910662,-0.015083735799296734,0.9879665163614523,-0.0005762984793451304
occipital,P2_frp,active_vs_constant,active,constant,1241,1660,-0.6100076119177715,0.04094667309756807,-0.6509542850153396,-2.822289589497753,0.004805804082155525,-0.10754822097092406
occipital,P2_frp,passive_vs_constant,passive,constant,1539,1660,-0.6063373803788609,0.04094667309756807,-0.6472840534764289,-3.0156196275453184,0.0025852931445342763,-0.10708760701511025
occipital,Late_frp,active_vs_passive,active,passive,1241,1539,-1.1107988529026085,-1.0952463637722734,-0.015552489130335134,-0.059799881972284356,0.9523195678793693,-0.0022873919612746477
occipital,Late_frp,active_vs_constant,active,constant,1241,1660,-1.1107988529026085,-0.222874843283565,-0.8879240096190435,-3.595040835659807,0.00033063069627943054,-0.1371441011845189
occipital,Late_frp,passive_vs_constant,passive,constant,1539,1660,-1.0952463637722734,-0.222874843283565,-0.8723715204887084,-3.8203455728471174,0.0001358682495281144,-0.13564807776576643
posterior,lambda,active_vs_passive,active,passive,1241,1539,2.984084112243448,2.8373017783099552,0.14678233393349283,0.5360223071791932,0.5919892278603002,0.020576122679423377
posterior,lambda,active_vs_constant,active,constant,1241,1660,2.984084112243448,2.48900794630697,0.49507616593647796,1.930352576753812,0.05368265527912939,0.07446434612726749
posterior,lambda,passive_vs_constant,passive,constant,1539,1660,2.8373017783099552,2.48900794630697,0.34829383200298514,1.5054547140211283,0.1323103586795413,0.05354535326289617
posterior,P1_frp,active_vs_passive,active,passive,1241,1539,2.2662247837920937,2.1408589159680087,0.125365867824085,0.46915573655829973,0.6389974807765735,0.01797017654033987
posterior,P1_frp,active_vs_constant,active,constant,1241,1660,2.2662247837920937,2.0867305072282107,0.17949427656388295,0.7003876698145309,0.48375006781365565,0.026674513233481106
posterior,P1_frp,passive_vs_constant,passive,constant,1539,1660,2.1408589159680087,2.0867305072282107,0.05412840873979796,0.22990574521869145,0.81818001353239,0.008155744603531578
posterior,N1_frp,active_vs_passive,active,passive,1241,1539,0.6966749899310271,0.492604462111142,0.20407052781988505,0.7735358642144524,0.4392766847019776,0.029753041851156205
posterior,N1_frp,active_vs_constant,active,constant,1241,1660,0.6966749899310271,1.1230347708807191,-0.42635978094969207,-1.6702095373602848,0.09500408676227201,-0.06379293859969648
posterior,N1_frp,passive_vs_constant,passive,constant,1539,1660,0.492604462111142,1.1230347708807191,-0.6304303087695771,-2.7507489343115967,0.005979909849838365,-0.09751081331235577
posterior,P2_frp,active_vs_passive,active,passive,1241,1539,-0.7749745986178112,-0.7582206061431076,-0.01675399247470355,-0.057822739361243866,0.9538942450481113,-0.0022144213393661097
posterior,P2_frp,active_vs_constant,active,constant,1241,1660,-0.7749745986178112,-0.05170238195297879,-0.7232722166648323,-2.632655180099513,0.00852489940099876,-0.10067972665368997
posterior,P2_frp,passive_vs_constant,passive,constant,1539,1660,-0.7582206061431076,-0.05170238195297879,-0.7065182241901288,-2.802439802262809,0.0051032168187200065,-0.09952860984829567
posterior,Late_frp,active_vs_passive,active,passive,1241,1539,-1.2584531229795881,-1.2028171056407575,-0.05563601733883061,-0.18248150210558126,0.8552190573659656,-0.006992478699882226
posterior,Late_frp,active_vs_constant,active,constant,1241,1660,-1.2584531229795881,-0.34309428359969135,-0.9153588393798968,-3.191879022003929,0.0014316385685694594,-0.12256448262915054
posterior,Late_frp,passive_vs_constant,passive,constant,1539,1660,-1.2028171056407575,-0.34309428359969135,-0.8597228220410662,-3.283535767590435,0.0010365918941061532,-0.11671688211122119
parietal,lambda,active_vs_passive,active,passive,1241,1539,0.7857139699889959,0.5161914881947427,0.2695224817942532,0.759959796576641,0.4473466285119768,0.029050664910485902
parietal,lambda,active_vs_constant,active,constant,1241,1660,0.7857139699889959,-0.14105814644728495,0.9267721164362809,2.787167361451067,0.005358122598508622,0.10674864217835824
parietal,lambda,passive_vs_constant,passive,constant,1539,1660,0.5161914881947427,-0.14105814644728495,0.6572496346420277,2.134394544119832,0.0328893462927924,0.07588145805641296
parietal,P1_frp,active_vs_passive,active,passive,1241,1539,-0.002031828073597602,-0.49051613258569365,0.48848430451209607,1.4394993578695974,0.15012794946457786,0.0550306864971898
parietal,P1_frp,active_vs_constant,active,constant,1241,1660,-0.002031828073597602,-0.5962879387822152,0.5942561107086176,1.8178039141698858,0.06921075372052964,0.06891626257293344
