condition,cluster,window,n,mean_amp_uv
active,occipital,P1,159,6.9508
passive,occipital,P1,156,7.1425
constant,occipital,P1,12,10.0265
active,occipital,N1,159,10.0933
passive,occipital,N1,156,9.2074
constant,occipital,N1,12,8.6325
active,occipital,P2,159,12.9567
passive,occipital,P2,156,11.5615
constant,occipital,P2,12,9.4462
active,occipital,P3,159,12.1385
passive,occipital,P3,156,10.4517
constant,occipital,P3,12,6.9359
active,occipital,Late,159,6.2979
passive,occipital,Late,156,5.548
constant,occipital,Late,12,1.2093
active,posterior,P1,159,7.5909
passive,posterior,P1,156,8.0348
constant,posterior,P1,12,10.7477
active,posterior,N1,159,11.5012
passive,posterior,N1,156,10.8893
constant,posterior,N1,12,9.9908
active,posterior,P2,159,15.1198
passive,posterior,P2,156,13.8844
constant,posterior,P2,12,11.8697
active,posterior,P3,159,14.7447
passive,posterior,P3,156,12.8646
constant,posterior,P3,12,8.9722
active,posterior,Late,159,7.693
passive,posterior,Late,156,7.3022
constant,posterior,Late,12,2.8935
active,parietal,P1,159,1.3361
passive,parietal,P1,156,1.7351
constant,parietal,P1,12,5.9781
active,parietal,N1,159,6.5053
passive,parietal,N1,156,6.2437
constant,parietal,N1,12,7.5047
active,parietal,P2,159,9.9282
passive,parietal,P2,156,9.0549
constant,parietal,P2,12,10.2476
active,parietal,P3,159,10.4626
passive,parietal,P3,156,8.9312
constant,parietal,P3,12,5.2785
active,parietal,Late,159,4.5988
passive,parietal,Late,156,4.5818
constant,parietal,Late,12,2.5435
active,frontal,P1,159,-9.5735
passive,frontal,P1,156,-8.5528
constant,frontal,P1,12,-6.0361
active,frontal,N1,159,-6.5453
passive,frontal,N1,156,-4.8169
constant,frontal,N1,12,-0.4404
active,frontal,P2,159,-6.217
passive,frontal,P2,156,-5.0153
constant,frontal,P2,12,2.1355
active,frontal,P3,159,-7.345
passive,frontal,P3,156,-7.7861
constant,frontal,P3,12,-7.0859
active,frontal,Late,159,-6.5121
passive,frontal,Late,156,-7.6439
constant,frontal,Late,12,-1.9822
