condition,cluster,window,n,mean_amp_uv
active,occipital,P1,130,1.6754
passive,occipital,P1,136,1.4415
constant,occipital,P1,9,-0.1108
active,occipital,N1,130,4.9262
passive,occipital,N1,136,3.9122
constant,occipital,N1,9,1.2603
active,occipital,P2,130,10.4316
passive,occipital,P2,136,9.1146
constant,occipital,P2,9,6.6774
active,occipital,P3,130,8.106
passive,occipital,P3,136,7.0345
constant,occipital,P3,9,3.7141
active,occipital,Late,130,3.3245
passive,occipital,Late,136,3.0639
constant,occipital,Late,9,0.1375
active,posterior,P1,130,1.7358
passive,posterior,P1,136,1.084
constant,posterior,P1,9,-0.0089
active,posterior,N1,130,4.9955
passive,posterior,N1,136,3.7127
constant,posterior,N1,9,1.9735
active,posterior,P2,130,10.6186
passive,posterior,P2,136,8.9501
constant,posterior,P2,9,7.5968
active,posterior,P3,130,8.7926
passive,posterior,P3,136,7.1588
constant,posterior,P3,9,5.3573
active,posterior,Late,130,4.415
passive,posterior,Late,136,3.3871
constant,posterior,Late,9,2.4949
active,parietal,P1,130,-0.1205
passive,parietal,P1,136,-1.2872
constant,parietal,P1,9,-2.8849
active,parietal,N1,130,2.7579
passive,parietal,N1,136,1.1078
constant,parietal,N1,9,0.0219
active,parietal,P2,130,6.6194
passive,parietal,P2,136,4.4768
constant,parietal,P2,9,5.1656
active,parietal,P3,130,5.2328
passive,parietal,P3,136,2.5455
constant,parietal,P3,9,2.0597
active,parietal,Late,130,2.3
passive,parietal,Late,136,0.1302
constant,parietal,Late,9,-0.8332
active,frontal,P1,130,-2.3197
passive,frontal,P1,136,-1.8262
constant,frontal,P1,9,-6.5785
active,frontal,N1,130,-2.3502
passive,frontal,N1,136,-1.5876
constant,frontal,N1,9,-5.0136
active,frontal,P2,130,-5.7596
passive,frontal,P2,136,-5.4446
constant,frontal,P2,9,-5.1251
active,frontal,P3,130,-7.1591
passive,frontal,P3,136,-7.7242
constant,frontal,P3,9,-9.1781
active,frontal,Late,130,-4.0554
passive,frontal,Late,136,-4.5188
constant,frontal,Late,9,-8.1452
