subject,condition,cluster,window,n,mean_amp_uv
018,active,occipital,lambda,2558,1.366296
018,active,occipital,P1_frp,2558,0.79944
018,active,occipital,N1_frp,2558,0.298925
018,active,occipital,P2_frp,2558,-0.11371
018,active,occipital,Late_frp,2558,-0.50316
018,active,posterior,lambda,2558,0.801021
018,active,posterior,P1_frp,2558,0.798021
018,active,posterior,N1_frp,2558,0.572501
018,active,posterior,P2_frp,2558,-0.269379
018,active,posterior,Late_frp,2558,-0.543966
018,active,parietal,lambda,2558,-0.467521
018,active,parietal,P1_frp,2558,0.045601
018,active,parietal,N1_frp,2558,0.952293
018,active,parietal,P2_frp,2558,-0.610023
018,active,parietal,Late_frp,2558,-0.506452
018,active,frontal,lambda,2558,-1.58131
018,active,frontal,P1_frp,2558,-0.751184
018,active,frontal,N1_frp,2558,0.804211
018,active,frontal,P2_frp,2558,-0.585743
018,active,frontal,Late_frp,2558,0.355904
018,passive,occipital,lambda,2520,0.993275
018,passive,occipital,P1_frp,2520,0.655967
018,passive,occipital,N1_frp,2520,0.169793
018,passive,occipital,P2_frp,2520,-0.270621
018,passive,occipital,Late_frp,2520,-0.937378
018,passive,posterior,lambda,2520,0.436181
018,passive,posterior,P1_frp,2520,0.631243
018,passive,posterior,N1_frp,2520,0.432065
018,passive,posterior,P2_frp,2520,-0.490672
018,passive,posterior,Late_frp,2520,-1.041343
018,passive,parietal,lambda,2520,-0.789954
018,passive,parietal,P1_frp,2520,-0.167996
018,passive,parietal,N1_frp,2520,0.868618
018,passive,parietal,P2_frp,2520,-0.82655
018,passive,parietal,Late_frp,2520,-0.87285
018,passive,frontal,lambda,2520,-1.833774
018,passive,frontal,P1_frp,2520,-1.180196
018,passive,frontal,N1_frp,2520,0.50149
018,passive,frontal,P2_frp,2520,-1.041644
018,passive,frontal,Late_frp,2520,-0.167969
018,constant,occipital,lambda,2484,1.030832
018,constant,occipital,P1_frp,2484,0.520449
018,constant,occipital,N1_frp,2484,0.686872
018,constant,occipital,P2_frp,2484,0.210047
018,constant,occipital,Late_frp,2484,-0.459684
018,constant,posterior,lambda,2484,0.638525
018,constant,posterior,P1_frp,2484,0.653753
018,constant,posterior,N1_frp,2484,0.876641
018,constant,posterior,P2_frp,2484,0.050989
018,constant,posterior,Late_frp,2484,-0.440945
018,constant,parietal,lambda,2484,-0.520288
018,constant,parietal,P1_frp,2484,0.038462
018,constant,parietal,N1_frp,2484,0.950319
018,constant,parietal,P2_frp,2484,-0.638788
018,constant,parietal,Late_frp,2484,-0.633421
018,constant,frontal,lambda,2484,-1.383705
018,constant,frontal,P1_frp,2484,-0.75891
018,constant,frontal,N1_frp,2484,0.236374
018,constant,frontal,P2_frp,2484,-1.042034
018,constant,frontal,Late_frp,2484,-0.120487
