sub,session_type,n_pictures,estimated_duration_s,actual_duration_s,estimation_ratio,accuracy,variability_sd_s,n_trials
001,active,9,16.5,50.61326884999994,0.34148374307304075,0.75,6.519202405202648,4
001,active,12,23.125,72.02423805000012,0.34557316813628725,1.0,8.239892798655413,4
001,active,18,30.375,101.14055307499984,0.29721816250610134,0.75,10.578082687015325,4
001,constant,9,22.25,50.736792700000024,0.46736272326157985,1.0,7.33143914930759,4
001,constant,12,27.75,72.13498034999998,0.3845470110606967,1.0,15.013882464794596,4
001,constant,18,27.875,101.25577859999999,0.27318277942491676,1.0,8.644603326160587,4
001,passive,9,20.0,50.76177464999989,0.40997539918783293,0.5,8.134289561274953,4
001,passive,12,23.0,72.25979367499986,0.3332692277280617,0.75,7.153087911291645,4
001,passive,18,24.375,101.20915612500016,0.24692932011520824,0.75,4.327720724199595,4
002,active,9,16.625,46.46449430000007,0.36371780324958836,1.0,8.419966349893171,4
002,active,12,22.5,74.00871517500013,0.32725047675059854,1.0,9.548123724935003,4
002,active,18,24.0,109.35853604999966,0.23564410493568044,0.75,6.97614984548545,4
002,constant,9,42.125,46.57991804999983,0.9147230509531168,1.0,23.267914245443947,4
002,constant,12,105.0,74.13667697500023,1.4639907877940248,1.0,17.320508075688775,4
002,constant,18,112.5,109.47838382499981,1.0490553694983902,1.0,15.0,4
002,passive,9,20.625,46.554411749999645,0.45347383776093364,0.75,9.357483636106451,4
002,passive,12,27.5,74.18275527500032,0.40493866620832053,0.75,16.299284237863535,4
002,passive,18,23.25,109.62351960000001,0.23599026618817026,0.75,11.586630226256467,4
003,active,9,29.25,36.56222542500018,0.7805520794715457,1.0,12.203141671990318,4
003,active,12,47.5,58.89046015000076,0.808768482568716,0.75,5.000000000000001,4
003,active,18,77.5,90.99564307500077,0.860175437476439,0.75,18.929694486000916,4
003,constant,9,37.5,36.694100474999686,1.0088073127397594,1.0,12.583057392117917,4
003,constant,12,57.5,58.9940363249998,0.9772827635353356,1.0,5.000000000000001,4
003,constant,18,85.0,91.119148400001,0.9343256578897514,1.0,25.166114784235834,4
003,passive,9,32.5,36.89383010000074,0.8708208320354001,1.0,11.902380714238083,4
003,passive,12,55.0,59.11725162499988,0.9298873943735128,0.5,12.909944487358056,4
003,passive,18,77.5,91.23960829999942,0.842811029735924,0.75,17.07825127659933,4
004,active,9,40.75,80.38042094999969,0.507471507665213,1.0,2.9860788111948193,4
004,active,12,69.5,106.96533165000051,0.647134628706947,1.0,16.258331197676263,4
004,active,18,106.25,167.02317367499995,0.6320397019010581,1.0,24.281337140555777,4
004,constant,9,86.25,80.50304062499981,1.0631858738545539,1.0,22.86737122335374,4
004,constant,12,103.75,107.08021100000019,0.973844442520529,1.0,16.00781059358212,4
004,constant,18,118.0,167.1429721749996,0.7251116517246201,1.0,4.0,4
004,passive,9,42.5,80.4409910249999,0.5312323502078502,1.0,9.57427107756338,4
004,passive,12,72.5,107.31801207499961,0.6725320823164169,1.0,16.583123951777,4
004,passive,18,117.5,167.40084342499995,0.7231556512094087,1.0,2.886751345948129,4
005,active,9,34.125,41.5613886000001,0.7461798567415597,1.0,20.438423781365003,4
005,active,12,40.125,47.55318125000122,0.7843484941722962,1.0,25.85979827196389,4
005,active,18,39.625,91.02501159999974,0.4230686969337287,0.75,30.798741857420087,4
005,constant,9,30.375,41.65996389999964,0.7082443370863707,1.0,14.985409570645709,4
005,constant,12,34.375,47.65578057500079,0.6713675471414596,1.0,21.029245508735368,4
005,constant,18,68.25,91.13174832499953,0.757754744387829,1.0,19.910215133610855,4
005,passive,9,36.25,41.73013229999924,0.7877652056270283,1.0,21.635233609400508,4
005,passive,12,39.625,47.74740917500003,0.7644153873664259,1.0,23.767537384704653,4
005,passive,18,55.0,91.29789420000088,0.5379560462445524,1.0,37.62977544445356,4
006,active,9,10.125,24.727965175000463,0.41901261095522985,1.0,1.3149778198382915,4
006,active,12,11.875,28.398606149999978,0.41769604056704046,1.0,3.010398644698074,4
006,active,18,20.0,49.01211235000028,0.3982205996509232,0.75,9.486832980505138,4
006,constant,9,14.0,24.831411999998636,0.55815358967365,1.0,4.898979485566356,4
006,constant,12,14.75,28.488411375000396,0.5194403403797441,1.0,3.1754264805429417,4
006,constant,18,27.0,49.110379300001114,0.5497094930474292,1.0,5.597618541248889,4
006,passive,9,9.125,24.843476375000137,0.37561895573332854,0.5,1.3149778198382918,4
006,passive,12,12.375,28.617038125001272,0.44470176272838535,0.75,2.1360009363293826,4
006,passive,18,17.0,49.31144085000142,0.3551949225368851,0.75,1.8257418583505538,4
007,active,9,14.75,24.578752424999948,0.5762247654544769,0.75,7.33143914930759,4
007,active,12,31.5,40.13130109999997,0.7225436504218871,1.0,23.169664074676035,4
007,active,18,37.625,49.742274124999994,0.7556079481452522,1.0,10.274361294017258,4
007,constant,9,21.625,24.693740700000035,0.8962808079664663,1.0,9.231964399122576,4
007,constant,12,48.75,40.254806774999906,1.174646573224104,1.0,28.10249099279279,4
007,constant,18,42.25,49.85321222500011,0.8415392537587006,1.0,12.744279762570605,4
007,passive,9,19.125,24.648437150000518,0.7817400926977066,0.75,3.8160843806184377,4
007,passive,12,38.0,40.39174560000015,0.8161992239322802,1.0,36.23304201048172,4
007,passive,18,49.875,50.08254472500039,0.9848502251304236,1.0,13.91866253153178,4
008,active,9,10.0,22.13216069999908,0.4518311671214468,1.0,,1
008,active,12,14.0,33.156233699999575,0.4222433744035342,0.0,,1
008,active,18,18.0,51.36914460000117,0.3504049004545735,1.0,,1
008,constant,9,11.0,22.24219600000288,0.4945554836401305,1.0,,1
008,constant,12,20.0,33.26709530000153,0.601194658554968,1.0,,1
008,constant,18,30.0,51.4618761999991,0.5829558153575545,1.0,,1
008,passive,9,10.0,22.259747700001757,0.4492413900989189,1.0,,1
008,passive,12,12.5,33.29995659999986,0.3753758646039812,1.0,,1
008,passive,18,19.0,51.97785379999914,0.3655402947783949,0.0,,1
009,active,9,26.125,37.63425762500083,0.6789987213826486,1.0,12.25,4
009,active,12,30.0,51.30651887500062,0.5822998386073116,1.0,12.247448713915889,4
009,active,18,52.5,80.62666637500115,0.656536022505062,0.75,17.07825127659933,4
