condition,cluster,window,n,mean_amp_uv
active,occipital,P1,150,2.4854
passive,occipital,P1,148,1.5414
constant,occipital,P1,12,4.0362
active,occipital,N1,150,10.3375
passive,occipital,N1,148,8.4768
constant,occipital,N1,12,7.4108
active,occipital,P2,150,10.9773
passive,occipital,P2,148,10.7984
constant,occipital,P2,12,10.0712
active,occipital,P3,150,5.7529
passive,occipital,P3,148,6.4448
constant,occipital,P3,12,4.6295
active,occipital,Late,150,3.7004
passive,occipital,Late,148,3.1326
constant,occipital,Late,12,-0.5421
active,posterior,P1,150,2.3514
passive,posterior,P1,148,1.0985
constant,posterior,P1,12,4.2833
active,posterior,N1,150,10.0307
passive,posterior,N1,148,8.2139
constant,posterior,N1,12,7.2345
active,posterior,P2,150,10.8789
passive,posterior,P2,148,10.4397
constant,posterior,P2,12,10.1961
active,posterior,P3,150,7.2099
passive,posterior,P3,148,7.9588
constant,posterior,P3,12,6.6497
active,posterior,Late,150,4.643
passive,posterior,Late,148,4.5919
constant,posterior,Late,12,1.4026
active,parietal,P1,150,-1.8396
passive,parietal,P1,148,-3.3837
constant,parietal,P1,12,1.1235
active,parietal,N1,150,1.4769
passive,parietal,N1,148,-0.4587
constant,parietal,N1,12,2.1155
active,parietal,P2,150,-2.5463
passive,parietal,P2,148,-3.475
constant,parietal,P2,12,-1.5498
active,parietal,P3,150,-3.2492
passive,parietal,P3,148,-3.0638
constant,parietal,P3,12,-0.3313
active,parietal,Late,150,-0.473
passive,parietal,Late,148,-1.7519
constant,parietal,Late,12,0.4955
active,frontal,P1,150,-4.1235
passive,frontal,P1,148,-4.3088
constant,frontal,P1,12,-0.0218
active,frontal,N1,150,-8.0888
passive,frontal,N1,148,-8.9295
constant,frontal,N1,12,-1.8062
active,frontal,P2,150,-14.3958
passive,frontal,P2,148,-15.4611
constant,frontal,P2,12,-9.8396
active,frontal,P3,150,-13.2577
passive,frontal,P3,148,-13.699
constant,frontal,P3,12,-4.5774
active,frontal,Late,150,-5.2954
passive,frontal,Late,148,-6.6522
constant,frontal,Late,12,2.8622
