cluster,window,comparison,condition_a,condition_b,n_a,n_b,mean_a_uv,mean_b_uv,mean_diff_uv,t_stat,p_value,cohens_d
occipital,lambda,active_vs_passive,active,passive,1014,1132,4.718286438346422,4.748437985530965,-0.03015154718454305,-0.07939245373474033,0.936727959837225,-0.0034316316976564084
occipital,lambda,active_vs_constant,active,constant,1014,1169,4.718286438346422,3.1746761061453563,1.543610332201066,4.138159366634615,3.637369553878377e-05,0.17778914497566295
occipital,lambda,passive_vs_constant,passive,constant,1132,1169,4.748437985530965,3.1746761061453563,1.573761879385609,4.329626540962752,1.557871908522695e-05,0.18060722687896538
occipital,P1_frp,active_vs_passive,active,passive,1014,1132,2.4529575951791958,2.606179283368479,-0.15322168818928317,-0.38414774946832164,0.7009072340632112,-0.01657518440087928
occipital,P1_frp,active_vs_constant,active,constant,1014,1169,2.4529575951791958,2.0002419071051936,0.4527156880740022,1.1455004842139702,0.2521290103016099,0.0490347151927622
occipital,P1_frp,passive_vs_constant,passive,constant,1132,1169,2.606179283368479,2.0002419071051936,0.6059373762632854,1.546502778383678,0.1221209927769938,0.06449084747473167
occipital,N1_frp,active_vs_passive,active,passive,1014,1132,-1.0324520860793083,-0.6315861436804147,-0.4008659423988936,-1.0599980465591903,0.28926591667897106,-0.045789475600901346
occipital,N1_frp,active_vs_constant,active,constant,1014,1169,-1.0324520860793083,0.7994552967259394,-1.8319073828052477,-4.832321466021043,1.4444957191038974e-06,-0.2068109895802254
occipital,N1_frp,passive_vs_constant,passive,constant,1132,1169,-0.6315861436804147,0.7994552967259394,-1.431041440406354,-3.847909118601698,0.00012237603700880669,-0.16040030099072555
occipital,P2_frp,active_vs_passive,active,passive,1014,1132,-0.9501412376216023,-0.33332079280019106,-0.6168204448214112,-1.550906031899377,0.12107274226191372,-0.06694838298159307
occipital,P2_frp,active_vs_constant,active,constant,1014,1169,-0.9501412376216023,0.5434167101188779,-1.4935579477404803,-3.761515656463317,0.00017338180422444833,-0.16093293078629062
occipital,P2_frp,passive_vs_constant,passive,constant,1132,1169,-0.33332079280019106,0.5434167101188779,-0.8767375029190689,-2.236248880808932,0.025431093065941206,-0.09323076183809376
occipital,Late_frp,active_vs_passive,active,passive,1014,1132,-2.115577320283113,-1.561313684805415,-0.554263635477698,-1.3086243079301134,0.1908027808364271,-0.05648714216208651
occipital,Late_frp,active_vs_constant,active,constant,1014,1169,-2.115577320283113,-1.0262776273410052,-1.0892996929421077,-2.570460803700771,0.01022272717221438,-0.10993326268047185
occipital,Late_frp,passive_vs_constant,passive,constant,1132,1169,-1.561313684805415,-1.0262776273410052,-0.5350360574644097,-1.2780445444873612,0.20136277204531636,-0.05327871573391582
posterior,lambda,active_vs_passive,active,passive,1014,1132,1.6480545913750602,1.7277579849781604,-0.07970339360310019,-0.22482680468251848,0.8221357504578527,-0.009726940574144041
posterior,lambda,active_vs_constant,active,constant,1014,1169,1.6480545913750602,0.8141118688316131,0.833942722543447,2.38375094555483,0.017224626363544746,0.10246690987132452
posterior,lambda,passive_vs_constant,passive,constant,1132,1169,1.7277579849781604,0.8141118688316131,0.9136461161465472,2.7043069980859062,0.0068952500557158455,0.11279053892407216
posterior,P1_frp,active_vs_passive,active,passive,1014,1132,1.8527485272592328,1.9701903677070352,-0.11744184044780237,-0.3229483459785086,0.7467661250225704,-0.013950561092510498
posterior,P1_frp,active_vs_constant,active,constant,1014,1169,1.8527485272592328,1.4219051489280894,0.4308433783311434,1.1826821719039413,0.23706547503002176,0.05062046660440687
posterior,P1_frp,passive_vs_constant,passive,constant,1132,1169,1.9701903677070352,1.4219051489280894,0.5482852187789458,1.5341510586200278,0.125130112420824,0.06395260143847849
posterior,N1_frp,active_vs_passive,active,passive,1014,1132,0.27766702572445906,0.7085795819163332,-0.43091255619187413,-1.2155651032217547,0.22428577770916172,-0.052527279728049256
posterior,N1_frp,active_vs_constant,active,constant,1014,1169,0.27766702572445906,1.5359948210729777,-1.2583277953485186,-3.4731623784921917,0.0005244426341494769,-0.14829158392530495
posterior,N1_frp,passive_vs_constant,passive,constant,1132,1169,0.7085795819163332,1.5359948210729777,-0.8274152391566445,-2.333319790484142,0.01971725207106135,-0.09720290524548006
posterior,P2_frp,active_vs_passive,active,passive,1014,1132,-1.305326034865439,-0.7543881797237884,-0.5509378551416506,-1.4717426484711826,0.1412383444095772,-0.06356666777548672
posterior,P2_frp,active_vs_constant,active,constant,1014,1169,-1.305326034865439,0.064065301597067,-1.3693913364625059,-3.626840040345466,0.00029354783517545854,-0.15505183183278576
posterior,P2_frp,passive_vs_constant,passive,constant,1132,1169,-0.7543881797237884,0.064065301597067,-0.8184534813208554,-2.2061131537799032,0.027474647824210472,-0.09194331528661524
posterior,Late_frp,active_vs_passive,active,passive,1014,1132,-1.778916371809145,-1.3622305462903768,-0.4166858255187682,-1.0436492391078773,0.29676673451232527,-0.0451207410248704
posterior,Late_frp,active_vs_constant,active,constant,1014,1169,-1.778916371809145,-0.8603079060542456,-0.9186084657548994,-2.27720466852749,0.022871458479778138,-0.09744908176948185
posterior,Late_frp,passive_vs_constant,passive,constant,1132,1169,-1.3622305462903768,-0.8603079060542456,-0.5019226402361312,-1.27777300998887,0.20145848324056453,-0.053249929710654766
parietal,lambda,active_vs_passive,active,passive,1014,1132,-0.8476287840819963,-0.6415782251678765,-0.20605055891411972,-0.5494269250282229,0.5827707025431129,-0.023783776642957378
parietal,lambda,active_vs_constant,active,constant,1014,1169,-0.8476287840819963,-1.1839177001210255,0.3362889160390292,0.9090957272386488,0.36340319811156674,0.039110062662939954
parietal,lambda,passive_vs_constant,passive,constant,1132,1169,-0.6415782251678765,-1.1839177001210255,0.5423394749531489,1.5267573414143352,0.1269592141582344,0.06367902766751447
parietal,P1_frp,active_vs_passive,active,passive,1014,1132,-0.14492581770954255,-0.1485541585648115,0.0036283408552689467,0.00914604607176821,0.9927034738154257,0.0003954390724908639
parietal,P1_frp,active_vs_constant,active,constant,1014,1169,-0.14492581770954255,-0.6691825278758098,0.5242567101662672,1.3381866572916594,0.18097831828629338,0.057466766225748825
parietal,P1_frp,passive_vs_constant,passive,constant,1132,1169,-0.1485541585648115,-0.6691825278758098,0.5206283693109983,1.367231548875953,0.17168664512462445,0.05702239601514802
parietal,N1_frp,active_vs_passive,active,passive,1014,1132,1.4412970226486543,1.8808938606382373,-0.43959683798958293,-1.1129042039702197,0.2658756111870444,-0.04809655214893091
parietal,N1_frp,active_vs_constant,active,constant,1014,1169,1.4412970226486543,1.3870171202820027,0.05427990236665159,0.13878228407827423,0.8896352511659553,0.005953949458269582
parietal,N1_frp,passive_vs_constant,passive,constant,1132,1169,1.8808938606382373,1.3870171202820027,0.4938767403562345,1.293409620295103,0.19599954318803503,0.05393838130654045
parietal,P2_frp,active_vs_passive,active,passive,1014,1132,-0.8264679162580468,-0.5156078179686198,-0.31086009828942707,-0.7502500089697927,0.45318699742412516,-0.03238647310791981
parietal,P2_frp,active_vs_constant,active,constant,1014,1169,-0.8264679162580468,-0.7340849329951006,-0.09238298326294625,-0.2276320237833895,0.8199540759940886,-0.009766878517902741
parietal,P2_frp,passive_vs_constant,passive,constant,1132,1169,-0.5156078179686198,-0.7340849329951006,0.21847711502648082,0.5455113944510175,0.5854549549151917,0.02275742197181154
parietal,Late_frp,active_vs_passive,active,passive,1014,1132,-0.0972263908637448,0.09171607028094489,-0.18894246114468968,-0.41781899252071836,0.6761216545850725,-0.018047534393911588
parietal,Late_frp,active_vs_constant,active,constant,1014,1169,-0.0972263908637448,-0.5724821672687482,0.47525577640500344,1.0770677088324443,0.28157218835160497,0.04627969971917187
parietal,Late_frp,passive_vs_constant,passive,constant,1132,1169,0.09171607028094489,-0.5724821672687482,0.6641982375496931,1.5349612980270437,0.12493157881600464,0.0640440184037545
frontal,lambda,active_vs_passive,active,passive,1014,1132,-1.7489612713958604,-1.7023535329522348,-0.046607738443625646,-0.10066723592246576,0.9198242481379388,-0.004362546528682138
frontal,lambda,active_vs_constant,active,constant,1014,1169,-1.7489612713958604,-1.6228136407100349,-0.12614763068582557,-0.27556535726019865,0.7829089916903029,-0.011867963826976377
frontal,lambda,passive_vs_constant,passive,constant,1132,1169,-1.7023535329522348,-1.6228136407100349,-0.07953989224219993,-0.18294281807736032,0.8548590445983882,-0.0076297131322152585
frontal,P1_frp,active_vs_passive,active,passive,1014,1132,-1.3437033803363734,-1.780561137332033,0.43685775699565954,0.8954588683690857,0.37064462859521813,0.03880390397441533
frontal,P1_frp,active_vs_constant,active,constant,1014,1169,-1.3437033803363734,-1.820047326832913,0.47634394649653955,0.9943948369092187,0.32014572304130323,0.042871718339458645
frontal,P1_frp,passive_vs_constant,passive,constant,1132,1169,-1.780561137332033,-1.820047326832913,0.03948618950088001,0.08680974403006879,0.9308303269219941,0.0036213657715117417
frontal,N1_frp,active_vs_passive,active,passive,1014,1132,1.829822367706594,1.7141320818766654,0.11569028582992846,0.2320280150787717,0.81653871598489,0.010037883698237092
frontal,N1_frp,active_vs_constant,active,constant,1014,1169,1.829822367706594,0.6855914609888716,1.1442309067177223,2.347975521008561,0.01896773637172311,0.10107493338531169
frontal,N1_frp,passive_vs_constant,passive,constant,1132,1169,1.7141320818766654,0.6855914609888716,1.0285406208877939,2.1857037557566064,0.028938298973354912,0.0911922245855999
frontal,P2_frp,active_vs_passive,active,passive,1014,1132,0.14247776781614305,0.238629113164466,-0.09615134534832295,-0.18586548582120754,0.8525681938914897,-0.008051431039123721
frontal,P2_frp,active_vs_constant,active,constant,1014,1169,0.14247776781614305,-0.7346977177412073,0.8771754855573504,1.7403901879870007,0.08193828162281967,0.07509380385422003
frontal,P2_frp,passive_vs_constant,passive,constant,1132,1169,0.238629113164466,-0.7346977177412073,0.9733268309056733,2.0278713944073905,0.042689139319116984,0.0846190845134762
frontal,Late_frp,active_vs_passive,active,passive,1014,1132,1.8146644337981477,1.7909883147923806,0.02367611900576705,0.04123502863987576,0.9671124491676684,0.0017864176238380554
frontal,Late_frp,active_vs_constant,active,constant,1014,1169,1.8146644337981477,0.6198115719238718,1.194852861874276,2.1266556983046927,0.033565628609965675,0.0917066952899531
frontal,Late_frp,passive_vs_constant,passive,constant,1132,1169,1.7909883147923806,0.6198115719238718,1.171176742868509,2.190151609391783,0.02861380382831079,0.09137598142917264
