condition,cluster,window,n,mean_amp_uv
active,occipital,P1,155,1.7448
passive,occipital,P1,152,2.3623
constant,occipital,P1,12,1.1981
active,occipital,N1,155,12.9878
passive,occipital,N1,152,13.1368
constant,occipital,N1,12,4.666
active,occipital,P2,155,14.6534
passive,occipital,P2,152,15.0154
constant,occipital,P2,12,8.4222
active,occipital,P3,155,9.6611
passive,occipital,P3,152,9.8338
constant,occipital,P3,12,6.5503
active,occipital,Late,155,6.191
passive,occipital,Late,152,6.6727
constant,occipital,Late,12,2.3339
active,posterior,P1,155,4.0101
passive,posterior,P1,152,4.6336
constant,posterior,P1,12,3.1712
active,posterior,N1,155,11.9977
passive,posterior,N1,152,12.1322
constant,posterior,N1,12,4.955
active,posterior,P2,155,14.9248
passive,posterior,P2,152,15.197
constant,posterior,P2,12,10.4002
active,posterior,P3,155,9.2512
passive,posterior,P3,152,9.1466
constant,posterior,P3,12,7.757
active,posterior,Late,155,5.9868
passive,posterior,Late,152,5.9524
constant,posterior,Late,12,2.864
active,parietal,P1,155,1.2781
passive,parietal,P1,152,1.8891
constant,parietal,P1,12,-0.2826
active,parietal,N1,155,4.352
passive,parietal,N1,152,3.9165
constant,parietal,N1,12,1.3941
active,parietal,P2,155,5.9732
passive,parietal,P2,152,5.8428
constant,parietal,P2,12,5.5627
active,parietal,P3,155,2.27
passive,parietal,P3,152,1.0317
constant,parietal,P3,12,4.8889
active,parietal,Late,155,2.0925
passive,parietal,Late,152,-0.0017
constant,parietal,Late,12,0.3797
active,frontal,P1,155,-0.8269
passive,frontal,P1,152,-0.7982
constant,frontal,P1,12,-2.5791
active,frontal,N1,155,-3.9855
passive,frontal,N1,152,-3.8941
constant,frontal,N1,12,-3.116
active,frontal,P2,155,-5.0572
passive,frontal,P2,152,-5.4055
constant,frontal,P2,12,-3.6784
active,frontal,P3,155,-4.0503
passive,frontal,P3,152,-5.1977
constant,frontal,P3,12,-0.6816
active,frontal,Late,155,-2.303
passive,frontal,Late,152,-4.2214
constant,frontal,Late,12,-4.7887
