subject,condition,cluster,window,n,mean_amp_uv
026,active,occipital,lambda,901,5.353262
026,active,occipital,P1_frp,901,0.994094
026,active,occipital,N1_frp,901,-3.163097
026,active,occipital,P2_frp,901,0.591572
026,active,occipital,Late_frp,901,-1.322744
026,active,posterior,lambda,901,4.671847
026,active,posterior,P1_frp,901,1.564691
026,active,posterior,N1_frp,901,-2.361073
026,active,posterior,P2_frp,901,0.4322
026,active,posterior,Late_frp,901,-1.199788
026,active,parietal,lambda,901,1.444302
026,active,parietal,P1_frp,901,-0.294052
026,active,parietal,N1_frp,901,-0.170513
026,active,parietal,P2_frp,901,-0.268578
026,active,parietal,Late_frp,901,-0.185961
026,active,frontal,lambda,901,-4.047564
026,active,frontal,P1_frp,901,-3.127757
026,active,frontal,N1_frp,901,1.13125
026,active,frontal,P2_frp,901,-1.766494
026,active,frontal,Late_frp,901,0.630544
026,passive,occipital,lambda,761,4.730876
026,passive,occipital,P1_frp,761,0.907249
026,passive,occipital,N1_frp,761,-2.974786
026,passive,occipital,P2_frp,761,1.169227
026,passive,occipital,Late_frp,761,-0.77397
026,passive,posterior,lambda,761,4.145976
026,passive,posterior,P1_frp,761,1.364483
026,passive,posterior,N1_frp,761,-2.12049
026,passive,posterior,P2_frp,761,0.9779
026,passive,posterior,Late_frp,761,-0.72037
026,passive,parietal,lambda,761,1.127906
026,passive,parietal,P1_frp,761,-0.226547
026,passive,parietal,N1_frp,761,0.290116
026,passive,parietal,P2_frp,761,0.351634
026,passive,parietal,Late_frp,761,0.547984
026,passive,frontal,lambda,761,-3.409595
026,passive,frontal,P1_frp,761,-2.775823
026,passive,frontal,N1_frp,761,1.410879
026,passive,frontal,P2_frp,761,-1.319705
026,passive,frontal,Late_frp,761,1.354898
026,constant,occipital,lambda,671,2.498984
026,constant,occipital,P1_frp,671,-0.12169
026,constant,occipital,N1_frp,671,-1.786955
026,constant,occipital,P2_frp,671,1.327296
026,constant,occipital,Late_frp,671,-0.512888
026,constant,posterior,lambda,671,2.498646
026,constant,posterior,P1_frp,671,0.274957
026,constant,posterior,N1_frp,671,-1.320796
026,constant,posterior,P2_frp,671,0.989371
026,constant,posterior,Late_frp,671,-0.591931
026,constant,parietal,lambda,671,1.178451
026,constant,parietal,P1_frp,671,-0.405128
026,constant,parietal,N1_frp,671,0.276205
026,constant,parietal,P2_frp,671,-0.193833
026,constant,parietal,Late_frp,671,-0.510836
026,constant,frontal,lambda,671,-1.422718
026,constant,frontal,P1_frp,671,-0.712953
026,constant,frontal,N1_frp,671,1.229257
026,constant,frontal,P2_frp,671,-1.209111
026,constant,frontal,Late_frp,671,0.456309
