condition,cluster,window,n,mean_amp_uv
active,occipital,P1,132,0.6145
passive,occipital,P1,141,1.7596
constant,occipital,P1,8,-0.5581
active,occipital,N1,132,4.1387
passive,occipital,N1,141,4.673
constant,occipital,N1,8,2.0604
active,occipital,P2,132,8.4751
passive,occipital,P2,141,8.2207
constant,occipital,P2,8,3.9716
active,occipital,P3,132,5.8373
passive,occipital,P3,141,6.0467
constant,occipital,P3,8,3.4548
active,occipital,Late,132,3.29
passive,occipital,Late,141,3.3453
constant,occipital,Late,8,-1.4534
active,posterior,P1,132,2.0867
passive,posterior,P1,141,3.0939
constant,posterior,P1,8,0.5125
active,posterior,N1,132,4.9132
passive,posterior,N1,141,5.2188
constant,posterior,N1,8,1.2422
active,posterior,P2,132,8.4742
passive,posterior,P2,141,8.4647
constant,posterior,P2,8,3.4215
active,posterior,P3,132,7.0232
passive,posterior,P3,141,7.3145
constant,posterior,P3,8,3.616
active,posterior,Late,132,4.6448
passive,posterior,Late,141,4.4901
constant,posterior,Late,8,-2.4682
active,parietal,P1,132,0.2002
passive,parietal,P1,141,0.2888
constant,parietal,P1,8,-0.246
active,parietal,N1,132,1.0233
passive,parietal,N1,141,1.02
constant,parietal,N1,8,-0.2
active,parietal,P2,132,-1.2617
passive,parietal,P2,141,-0.9986
constant,parietal,P2,8,-3.5254
active,parietal,P3,132,-0.3558
passive,parietal,P3,141,0.324
constant,parietal,P3,8,-1.5296
active,parietal,Late,132,0.4021
passive,parietal,Late,141,0.7588
constant,parietal,Late,8,-5.083
active,frontal,P1,132,-1.9696
passive,frontal,P1,141,-3.9346
constant,frontal,P1,8,-0.8725
active,frontal,N1,132,-4.7553
passive,frontal,N1,141,-5.0188
constant,frontal,N1,8,-1.8961
active,frontal,P2,132,-13.8374
passive,frontal,P2,141,-13.9927
constant,frontal,P2,8,-11.7198
active,frontal,P3,132,-11.5304
passive,frontal,P3,141,-12.8001
constant,frontal,P3,8,-14.2134
active,frontal,Late,132,-8.9601
passive,frontal,Late,141,-9.5128
constant,frontal,Late,8,-15.1766
